Entity,Year,Literate World Population,Illiterate World Population,Literacy rate
Afghanistan,2000,,,28.1
Albania,2011,,,96.8
Algeria,2006,,,72.6
Andorra,2011,,,100
Angola,2011,,,70.4
American Samoa,1980,,,97
Antigua and Barbuda,2011,,,99
Argentina,2011,,,97.9
Anguilla,1984,,,95
Armenia,2011,,,99.6
Australia,2003,,,99
Aruba,2010,,,96.8
Austria,2011,,,98
Azerbaijan,2010,,,99.8
Bahamas,2003,,,95.6
Bahrain,2010,,,94.6
Bangladesh,2011,,,57.7
Barbados,2002,,,99.7
Belgium,2003,,,99
Belarus,2009,,,99.6
Belize,2000,,,76.9
Benin,2010,,,42.4
Bhutan,2005,,,52.8
Bermuda,2005,,,98
Bolivia,2009,,,91.2
Bosnia and Herzegovina,2011,,,98
Botswana,2011,,,85.1
Brazil,2010,,,90.4
Brunei,2011,,,95.4
British Virgin Islands,1991,,,97.8
Bulgaria,2011,,,98.4
Burkina Faso,2007,,,28.7
Burundi,2010,,,67.2
Cambodia,2009,,,73.9
Cameroon,2010,,,71.3
Canada,2003,,,99
Cape Verde,2011,,,84.9
Central African Republic,2011,,,56.6
Cayman Islands,2007,,,98.9
China,2010,,,95.1
Chile,2009,,,98.6
Chad,2011,,,35.4
Congo,2003,,,83.8
Comoros,2011,,,75.5
Colombia,2011,,,93.6
Cote d'Ivoire,2011,,,56.9
Costa Rica,2011,,,96.3
Cook Islands,2011,,,95
Cyprus,2011,,,98.7
Cuba,2011,,,99.8
Croatia,2011,,,98.9
Denmark,2003,,,99
Czech Republic,2011,,,99
Democratic Republic of Congo,2010,,,66.8
Djibouti,2003,,,67.9
Dominican Republic,2011,,,90.1
Dominica,2003,,,94
Egypt,2012,,,73.9
Ecuador,2011,,,91.6
El Salvador,2010,,,84.5
Estonia,2011,,,99.8
Eritrea,2011,,,68.9
Equatorial Guinea,2011,,,94.2
Finland,2000,,,100
Ethiopia,2007,,,39
Fiji,2003,,,93.7
France,2003,,,99
Gabon,2011,,,89
French Polynesia,1977,,,98
Germany,2003,,,99
Gambia,2011,,,51.1
Georgia,2011,,,99.7
Greece,2011,,,97.3
Ghana,2010,,,71.5
Gibraltar,2011,,,80
Greenland,2001,,,100
Grenada,2003,,,96
Guam,1990,,,99
Guinea-Bissau,2011,,,55.3
Guinea,2010,,,41
Guatemala,2011,,,75.9
Honduras,2011,,,85.1
Haiti,2006,,,48.7
Guyana,2002,,,91.8
Hungary,2011,,,99
Hong Kong,2002,,,93.5
Iceland,2003,,,99
Iran,2008,,,85
Indonesia,2011,,,92.8
India,2006,,,62.8
Ireland,2003,,,99
Israel,2004,,,97.1
Iraq,2011,,,78.5
Italy,2011,,,99
Japan,2002,,,99
Jamaica,2011,,,87
Kenya,2010,,,87.4
Jordan,2011,,,95.9
Kazakhstan,2009,,,99.7
Kyrgyzstan,2009,,,99.2
Kuwait,2008,,,93.9
Kosovo,2007,,,91.9
Latvia,2011,,,99.8
Lebanon,2007,,,89.6
Laos,2005,,,72.7
Libya,2011,,,89.5
Liberia,2010,,,60.8
Lesotho,2010,,,89.6
Lithuania,2011,,,99.7
Liechtenstein,2011,,,100
Luxembourg,2000,,,100
Macedonia,2011,,,97.4
Madagascar,2009,,,64.5
Macao,2011,,,95.6
Malaysia,2010,,,93.1
Malawi,2010,,,74.8
Maldives,2006,,,98.4
Mali,2011,,,33.4
Malta,2005,,,92.4
Marshall Islands,1999,,,93.7
Mexico,2011,,,93.5
Mauritania,2011,,,58.6
Mauritius,2011,,,88.8
Moldova,2011,,,99
Monaco,2003,,,99
Micronesia,1980,,,89
Mongolia,2011,,,97.4
Montenegro,2011,,,98.5
Montserrat,1970,,,97
Mozambique,2010,,,56.1
Morocco,2011,,,67.1
Myanmar,2011,,,92.7
Netherlands,2003,,,99
Nepal,2011,,,57.4
Namibia,2010,,,88.8
Nicaragua,2005,,,78
New Zealand,2003,,,99
New Caledonia,1996,,,96.2
Nigeria,2010,,,61.3
Niger,2005,,,28.7
Niue,2011,,,95
Norway,2011,,,100
North Korea,2008,,,100
Northern Mariana Islands,1980,,,97
Pakistan,2009,,,54.9
Oman,2010,,,86.9
Palau,1980,,,92
Paraguay,2010,,,93.9
Papua New Guinea,2011,,,62.4
Panama,2010,,,94.1
Poland,2011,,,99.7
Philippines,2008,,,95.4
Peru,2007,,,89.6
Puerto Rico,2011,,,90.3
Portugal,2011,,,95.4
Qatar,2010,,,96.3
Russia,2010,,,99.7
Rwanda,2010,,,71.1
Romania,2011,,,97.7
Saint Kitts and Nevis,2003,,,97.8
Saint Lucia,2001,,,90.1
Saint Helena,1987,,,97
Saint Vincent and the Grenadines,1970,,,96
Samoa,2003,,,98.8
Saint Pierre and Miquelon,1982,,,99
Saudi Arabia,2011,,,87.2
San Marino,2011,,,96
Sao Tome and Principe,2008,,,69.5
Serbia,2011,,,98
Senegal,2009,,,49.7
Seychelles,2011,,,91.8
Slovakia,2004,,,99.6
Singapore,2010,,,95.9
Sierra Leone,2011,,,43.3
Somalia,2001,,,37.8
Slovenia,2011,,,99.7
Solomon Islands,2011,,,84.1
South Africa,2011,,,93
South Korea,2002,,,97.9
South Sudan,2009,,,27
Spain,2010,,,97.7
Sudan,2011,,,71.9
Sri Lanka,2010,,,91.2
Sweden,2003,,,99
Swaziland,2011,,,87.8
Suriname,2010,,,94.7
Switzerland,2003,,,99
Syria,2011,,,84.1
Taiwan,2003,,,96.1
Tanzania,2010,,,67.8
Thailand,2005,,,93.5
Tajikistan,2011,,,99.7
Togo,2011,,,60.4
Timor,2010,,,58.3
Tonga,2006,,,99
Turkey,2011,,,94.1
Tunisia,2010,,,79.1
Trinidad and Tobago,2011,,,98.8
Uganda,2010,,,73.2
Turkmenistan,2011,,,99.6
Turks and Caicos Islands,1970,,,98
United Kingdom,2003,,,99
Ukraine,2011,,,99.7
United Arab Emirates,2005,,,90
United States,2003,,,99
Uzbekistan,2011,,,99.4
Uruguay,2010,,,98.1
Vanuatu,2011,,,83.2
Venezuela,2009,,,95.5
Vatican,2011,,,100
Vietnam,2011,,,93.4
Wallis and Futuna,1969,,,50
World,1800,119240334.7,870577970.6,
World,1820,130388702.8,951972607.2,
World,1870,262232571.4,1137046044,
World,1880,289427247.9,1185101639,
World,1890,319483739.4,1237731043,
World,1900,353170253.9,1296829746,
World,1910,462798033.6,1287201966,
World,1920,588190835.9,1271809164,
World,1930,673321929.8,1396678070,
World,1940,963222160.3,1336777840,
World,1950,908027943.4,1617121369,
World,1960,1256246063,1762097765,
World,1970,2048295955,1634191736,
World,1980,2488527759,1951104706,
World,1990,3623893254,1685774445,
World,1999,4952842413,1096362790,
World,2004,5272680218,1167162190,
World,2014,6197479274,1068306672,
Zambia,2007,,,61.4
Yemen,2011,,,65.3
Zimbabwe,2011,,,83.6
