Entity,Year,Access to electricity (% population)- World Bank
Afghanistan,1999,0.016870929
Afghanistan,2000,0.16371274
Afghanistan,2001,1.006098986
Afghanistan,2002,3.467205048
Afghanistan,2003,7.209178925
Afghanistan,2004,13.96917152
Afghanistan,2005,23
Afghanistan,2006,27.5064106
Afghanistan,2007,34.29051208
Afghanistan,2008,42.4
Afghanistan,2009,47.88846588
Afghanistan,2010,42.7
Afghanistan,2011,61.51441956
Afghanistan,2012,69.1
Afghanistan,2013,75.15437317
Afghanistan,2014,89.5
Albania,1990,100
Albania,1991,100
Albania,1992,100
Albania,1993,100
Albania,1994,100
Albania,1995,100
Albania,1996,100
Albania,1997,100
Albania,1998,100
Albania,1999,100
Albania,2000,100
Albania,2001,100
Albania,2002,100
Albania,2003,100
Albania,2004,100
Albania,2005,100
Albania,2006,100
Albania,2007,100
Albania,2008,100
Albania,2009,100
Albania,2010,100
Albania,2011,100
Albania,2012,100
Albania,2013,100
Albania,2014,100
Algeria,1990,92.99005127
Algeria,1991,93.39325714
Algeria,1992,93.79601288
Algeria,1993,94.19605255
Algeria,1994,94.59069061
Algeria,1995,94.977211
Algeria,1996,95.35290527
Algeria,1997,95.715065
Algeria,1998,96.06099701
Algeria,1999,96.38908386
Algeria,2000,96.70213318
Algeria,2001,97.00404358
Algeria,2002,97.29869843
Algeria,2003,97.59001923
Algeria,2004,97.88188934
Algeria,2005,98.18426514
Algeria,2006,98.49073792
Algeria,2007,98.80651855
Algeria,2008,99.3
Algeria,2009,99.44389343
Algeria,2010,99.71117401
Algeria,2011,99.88954163
Algeria,2012,99.9730835
Algeria,2013,99.99691772
Algeria,2014,100
Andorra,1990,100
Andorra,1991,100
Andorra,1992,100
Andorra,1993,100
Andorra,1994,100
Andorra,1995,100
Andorra,1996,100
Andorra,1997,100
Andorra,1998,100
Andorra,1999,100
Andorra,2000,100
Andorra,2001,100
Andorra,2002,100
Andorra,2003,100
Andorra,2004,100
Andorra,2005,100
Andorra,2006,100
Andorra,2007,100
