Entity,Year,Smoke,Suspended Particulate Matter (SPM)
United Kingdom,1700,142.8571429,259.7402597
United Kingdom,1720,171.4285714,311.6883117
United Kingdom,1750,196.4285714,357.1428571
United Kingdom,1775,205.3571429,373.3766234
United Kingdom,1800,214.2857143,389.6103896
United Kingdom,1801,216.1428571,392.987013
United Kingdom,1802,218,396.3636364
United Kingdom,1803,219.8571429,399.7402597
United Kingdom,1804,221.7142857,403.1168831
United Kingdom,1805,223.5714286,406.4935065
United Kingdom,1806,225.4285714,409.8701299
United Kingdom,1807,227.2857143,413.2467532
United Kingdom,1808,229.1428571,416.6233766
United Kingdom,1809,231,420
United Kingdom,1810,232.8571429,423.3766234
United Kingdom,1811,234.7142857,426.7532468
United Kingdom,1812,236.5714286,430.1298701
United Kingdom,1813,238.4285714,433.5064935
United Kingdom,1814,240.2857143,436.8831169
United Kingdom,1815,242.1428571,440.2597403
United Kingdom,1816,244,443.6363636
United Kingdom,1817,245.8571429,447.012987
United Kingdom,1818,247.7142857,450.3896104
United Kingdom,1819,249.5714286,453.7662338
United Kingdom,1820,251.4285714,457.1428571
United Kingdom,1821,253.2857143,460.5194805
United Kingdom,1822,255.1428571,463.8961039
United Kingdom,1823,257,467.2727273
United Kingdom,1824,258.8571429,470.6493506
United Kingdom,1825,260.7142857,474.025974
United Kingdom,1826,262.5714286,477.4025974
United Kingdom,1827,264.4285714,480.7792208
United Kingdom,1828,266.2857143,484.1558442
United Kingdom,1829,268.1428571,487.5324675
United Kingdom,1830,270,490.9090909
United Kingdom,1831,271.8571429,494.2857143
United Kingdom,1832,273.7142857,497.6623377
United Kingdom,1833,275.5714286,501.038961
United Kingdom,1834,277.4285714,504.4155844
United Kingdom,1835,279.2857143,507.7922078
United Kingdom,1836,281.1428571,511.1688312
United Kingdom,1837,283,514.5454545
United Kingdom,1838,284.8571429,517.9220779
United Kingdom,1839,286.7142857,521.2987013
United Kingdom,1840,288.5714286,524.6753247
United Kingdom,1841,290.4285714,528.0519481
United Kingdom,1842,292.2857143,531.4285714
United Kingdom,1843,294.1428571,534.8051948
United Kingdom,1844,296,538.1818182
United Kingdom,1845,297.8571429,541.5584416
United Kingdom,1846,299.7142857,544.9350649
United Kingdom,1847,301.5714286,548.3116883
United Kingdom,1848,303.4285714,551.6883117
United Kingdom,1849,305.2857143,555.0649351
United Kingdom,1850,307.1428571,558.4415584
United Kingdom,1851,307.7142857,559.4805195
United Kingdom,1852,308.2857143,560.5194805
United Kingdom,1853,308.8571429,561.5584416
United Kingdom,1854,309.4285714,562.5974026
United Kingdom,1855,310,563.6363636
United Kingdom,1856,310.5714286,564.6753247
United Kingdom,1857,311.1428571,565.7142857
United Kingdom,1858,311.7142857,566.7532468
United Kingdom,1859,312.2857143,567.7922078
United Kingdom,1860,312.8571429,568.8311688
United Kingdom,1861,313.4285714,569.8701299
United Kingdom,1862,314,570.9090909
United Kingdom,1863,314.5714286,571.9480519
United Kingdom,1864,315.1428571,572.987013
United Kingdom,1865,315.7142857,574.025974
United Kingdom,1866,316.2857143,575.0649351
United Kingdom,1867,316.8571429,576.1038961
United Kingdom,1868,317.4285714,577.1428571
United Kingdom,1869,318,578.1818182
United Kingdom,1870,318.5714286,579.2207792
United Kingdom,1871,319.1428571,580.2597403
United Kingdom,1872,319.7142857,581.2987013
United Kingdom,1873,320.2857143,582.3376623
United Kingdom,1874,320.8571429,583.3766234
United Kingdom,1875,321.4285714,584.4155844
United Kingdom,1876,322.7678571,586.8506494
United Kingdom,1877,324.1071429,589.2857143
United Kingdom,1878,325.4464286,591.7207792
United Kingdom,1879,326.7857143,594.1558442
United Kingdom,1880,328.125,596.5909091
United Kingdom,1881,329.4642857,599.025974
United Kingdom,1882,330.8035714,601.461039
United Kingdom,1883,332.1428571,603.8961039
United Kingdom,1884,333.4821429,606.3311688
United Kingdom,1885,334.8214286,608.7662338
United Kingdom,1886,336.1607143,611.2012987
United Kingdom,1887,337.5,613.6363636
United Kingdom,1888,338.8392857,616.0714286
United Kingdom,1889,340.1785714,618.5064935
United Kingdom,1890,341.5178571,620.9415584
United Kingdom,1891,342.8571429,623.3766234
United Kingdom,1892,339.6825397,617.6046176
United Kingdom,1893,336.5079365,611.8326118
United Kingdom,1894,333.3333333,606.0606061
United Kingdom,1895,330.1587302,600.2886003
United Kingdom,1896,326.984127,594.5165945
United Kingdom,1897,323.8095238,588.7445887
United Kingdom,1898,320.6349206,582.972583
United Kingdom,1899,317.4603175,577.2005772
United Kingdom,1900,314.2857143,571.4285714
United Kingdom,1901,314.1142857,571.1168831
United Kingdom,1902,313.9428571,570.8051948
United Kingdom,1903,313.7714286,570.4935065
United Kingdom,1904,313.6,570.1818182
United Kingdom,1905,313.4285714,569.8701299
United Kingdom,1906,313.2571429,569.5584416
United Kingdom,1907,313.0857143,569.2467532
United Kingdom,1908,312.9142857,568.9350649
United Kingdom,1909,312.7428571,568.6233766
United Kingdom,1910,312.5714286,568.3116883
United Kingdom,1911,312.4,568
United Kingdom,1912,312.2285714,567.6883117
United Kingdom,1913,310,563.6363636
United Kingdom,1914,305.4545455,555.3719008
United Kingdom,1915,300.9090909,547.107438
United Kingdom,1916,296.3636364,538.8429752
United Kingdom,1917,291.8181818,530.5785124
United Kingdom,1918,287.2727273,522.3140496
United Kingdom,1919,282.7272727,514.0495868
United Kingdom,1920,278.1818182,505.785124
United Kingdom,1921,273.6363636,497.5206612
United Kingdom,1922,269.0909091,489.2561983
United Kingdom,1923,264.5454545,480.9917355
United Kingdom,1924,260,472.7272727
United Kingdom,1925,225,409.0909091
United Kingdom,1926,200,363.6363636
United Kingdom,1927,198,360
United Kingdom,1928,197,358.1818182
United Kingdom,1929,198,360
United Kingdom,1930,199,361.8181818
United Kingdom,1931,200,363.6363636
United Kingdom,1932,210,381.8181818
United Kingdom,1933,220,400
United Kingdom,1934,222,403.6363636
United Kingdom,1935,225,409.0909091
United Kingdom,1936,223,405.4545455
United Kingdom,1937,221,401.8181818
United Kingdom,1938,220,400
United Kingdom,1939,211.25,384.0909091
United Kingdom,1940,202.5,368.1818182
United Kingdom,1941,193.75,352.2727273
United Kingdom,1942,185,336.3636364
United Kingdom,1943,176.25,320.4545455
United Kingdom,1944,167.5,304.5454545
United Kingdom,1945,158.75,288.6363636
United Kingdom,1946,150,272.7272727
United Kingdom,1947,141.25,256.8181818
United Kingdom,1948,132.5,240.9090909
United Kingdom,1949,123.75,225
United Kingdom,1950,115,209.0909091
United Kingdom,1951,112.6709302,204.8562368
United Kingdom,1952,110.3418605,200.6215645
United Kingdom,1953,108.0127907,196.3868922
United Kingdom,1954,105.6837209,192.1522199
United Kingdom,1955,103.3546512,187.9175476
United Kingdom,1956,101.0255814,183.6828753
United Kingdom,1957,98.69651163,179.448203
United Kingdom,1958,96.36744186,175.2135307
United Kingdom,1959,94.03837209,170.9788584
United Kingdom,1960,91.70930233,166.744186
United Kingdom,1961,89.38023256,162.5095137
United Kingdom,1962,87.05116279,158.2748414
United Kingdom,1963,84.72209302,154.0401691
United Kingdom,1964,82.39302326,149.8054968
United Kingdom,1965,80.06395349,145.5708245
United Kingdom,1966,77.73488372,141.3361522
United Kingdom,1967,75.40581395,137.1014799
United Kingdom,1968,73.07674419,132.8668076
United Kingdom,1969,70.74767442,128.6321353
United Kingdom,1970,68.41860465,124.397463
United Kingdom,1971,66.08953488,120.1627907
United Kingdom,1972,63.76046512,115.9281184
United Kingdom,1973,61.43139535,111.6934461
United Kingdom,1974,59.10232558,107.4587738
United Kingdom,1975,56.77325581,103.2241015
United Kingdom,1976,54.44418605,98.98942918
United Kingdom,1977,52.11511628,94.75475687
United Kingdom,1978,49.78604651,90.52008457
United Kingdom,1979,47.45697674,86.28541226
United Kingdom,1980,45.12790698,82.05073996
United Kingdom,1981,42.79883721,77.81606765
United Kingdom,1982,40.46976744,73.58139535
United Kingdom,1983,38.14069767,69.34672304
United Kingdom,1984,35.81162791,65.11205074
United Kingdom,1985,33.48255814,60.87737844
United Kingdom,1986,31.15348837,56.64270613
United Kingdom,1987,28.8244186,52.40803383
United Kingdom,1988,26.49534884,48.17336152
United Kingdom,1989,24.16627907,43.93868922
United Kingdom,1990,21.8372093,39.70401691
United Kingdom,1991,19.50813953,35.46934461
United Kingdom,1992,17.17906977,31.2346723
United Kingdom,1993,14.85,27
United Kingdom,1994,14.3,26
United Kingdom,1995,14.3,26
United Kingdom,1996,14.3,26
United Kingdom,1997,13.75,25
United Kingdom,1998,13.75,25
United Kingdom,1999,13.75,25
United Kingdom,2000,13.75,25
United Kingdom,2001,,23.22
United Kingdom,2002,,23
United Kingdom,2003,,24.79
United Kingdom,2004,,22.03
United Kingdom,2005,,22.35
United Kingdom,2006,,23.82
United Kingdom,2007,,21.56
United Kingdom,2008,,18.81
United Kingdom,2009,,19
United Kingdom,2010,,20
United Kingdom,2011,,20
United Kingdom,2012,,17
United Kingdom,2013,,17
United Kingdom,2014,,17
United Kingdom,2015,,15
United Kingdom,2016,,16
India,1997,,363
India,1998,,378
India,1999,,375
India,2000,,431
India,2001,,382
India,2002,,456
India,2003,,391
India,2004,,390
India,2005,,373
India,2006,,433
India,2007,,365
India,2008,,416
India,2009,,492
India,2010,,481
