Entity,Year,$1 Poverty rate,$2.15 Poverty Rate
Belgium,2008,0.3,0.4
Austria,2008,0.1,0.1
Bulgaria,2008,0.7,2.2
Denmark,2008,0.6,0.7
Czech Republic,2008,0.1,0.1
Cyprus,2008,0.1,0.1
France,2008,0.2,0.2
Finland,2008,0.1,0.1
Estonia,2008,0.4,0.6
Germany,2008,0.5,0.6
Hungary,2008,0.1,0.3
Greece,2008,0.9,1.1
Ireland,2008,0.1,0.1
Italy,2008,0.8,1
Iceland,2008,0.1,0.2
Lithuania,2008,0.7,1.6
Latvia,2008,0.5,1.2
Luxembourg,2008,0.1,0.1
Netherlands,2008,0.6,0.6
Poland,2008,0.4,0.7
Norway,2008,0.6,0.6
Slovakia,2008,0.3,0.8
Romania,2008,2,7.9
Portugal,2008,0.1,0.4
Spain,2008,1,1.2
Sweden,2008,0.5,0.6
Slovenia,2008,0,0
United Kingdom,2008,0.5,0.6
