Entity,Year,CO2 intensity- (kgCO2/2011-$ PPP)- World Bank
Afghanistan,2002,0.037801491
Afghanistan,2003,0.040498948
Afghanistan,2004,0.03707023
Afghanistan,2005,0.046604289
Afghanistan,2006,0.054885114
Afghanistan,2007,0.066484398
Afghanistan,2008,0.119019598
Afghanistan,2009,0.158038584
Afghanistan,2010,0.182184115
Afghanistan,2011,0.248315372
Afghanistan,2012,0.362282827
Afghanistan,2013,0.36946316
Albania,1990,0.354505011
Albania,1991,0.406469348
Albania,1992,0.257033322
Albania,1993,0.217768065
Albania,1994,0.165724076
Albania,1995,0.158528978
Albania,1996,0.140454071
Albania,1997,0.120579432
Albania,1998,0.125590638
Albania,1999,0.188431464
Albania,2000,0.178824778
Albania,2001,0.176728101
Albania,2002,0.197330365
Albania,2003,0.213549394
Albania,2004,0.195977191
Albania,2005,0.189288689
Albania,2006,0.164524872
Albania,2007,0.156527917
Albania,2008,0.162148574
Albania,2009,0.157024181
Albania,2010,0.159015373
Albania,2011,0.176700647
Albania,2012,0.156669852
Albania,2013,0.158326248
Algeria,1990,0.293840755
Algeria,1991,0.306001041
Algeria,1992,0.303201965
Algeria,1993,0.315083065
Algeria,1994,0.33419455
Algeria,1995,0.35488084
Algeria,1996,0.347288935
Algeria,1997,0.311906023
Algeria,1998,0.360317717
Algeria,1999,0.300362086
Algeria,2000,0.276159238
Algeria,2001,0.257002994
Algeria,2002,0.262291864
Algeria,2003,0.24919387
Algeria,2004,0.23106757
Algeria,2005,0.261170006
Algeria,2006,0.242548048
Algeria,2007,0.253957343
Algeria,2008,0.249921441
Algeria,2009,0.27072812
Algeria,2010,0.256382925
Algeria,2011,0.253378567
Algeria,2012,0.262906837
Algeria,2013,0.264147629
Angola,1990,0.095642394
Angola,1991,0.096318287
Angola,1992,0.105618368
Angola,1993,0.155903256
Angola,1994,0.101472804
Angola,1995,0.259281733
Angola,1996,0.222182546
Angola,1997,0.145339194
Angola,1998,0.134727315
Angola,1999,0.163500748
Angola,2000,0.16539423
Angola,2001,0.161867213
Angola,2002,0.226370281
Angola,2003,0.153933725
Angola,2004,0.287824407
Angola,2005,0.248081122
Angola,2006,0.238829888
Angola,2007,0.220065443
Angola,2008,0.197634757
Angola,2009,0.208612692
Angola,2010,0.210921378
Angola,2011,0.211932897
Angola,2012,0.221857509
Angola,2013,0.201890126
Antigua and Barbuda,1990,0.283161135
Antigua and Barbuda,1991,0.267357027
Antigua and Barbuda,1992,0.265108409
Antigua and Barbuda,1993,0.264286319
Antigua and Barbuda,1994,0.254547839
Antigua and Barbuda,1995,0.275018922
Antigua and Barbuda,1996,0.257654162
Antigua and Barbuda,1997,0.256817994
Antigua and Barbuda,1998,0.243302513
Antigua and Barbuda,1999,0.243942773
Antigua and Barbuda,2000,0.229789498
Antigua and Barbuda,2001,0.237371725
Antigua and Barbuda,2002,0.242895019
Antigua and Barbuda,2003,0.245548577
Antigua and Barbuda,2004,0.244220533
Antigua and Barbuda,2005,0.232289988
Antigua and Barbuda,2006,0.21220118
Antigua and Barbuda,2007,0.213840441
Antigua and Barbuda,2008,0.218696809
Antigua and Barbuda,2009,0.263803805
Antigua and Barbuda,2010,0.292272264
Antigua and Barbuda,2011,0.291366142
Antigua and Barbuda,2012,0.286611091
Antigua and Barbuda,2013,0.287185728
Argentina,1990,0.318121444
Argentina,1991,0.293399909
Argentina,1992,0.272016256
Argentina,1993,0.25084212
Argentina,1994,0.246484283
Argentina,1995,0.263190673
Argentina,1996,0.263122106
Argentina,1997,0.248795683
Argentina,1998,0.242716463
Argentina,1999,0.264102751
Argentina,2000,0.257423297
Argentina,2001,0.253351377
Argentina,2002,0.265177815
Argentina,2003,0.263863387
Argentina,2004,0.282374454
Argentina,2005,0.266854991
Argentina,2006,0.267282465
Argentina,2007,0.244832176
