Entity,Year,Iron and steel production,"Military expenditure (1816-1913, current prices)","Military expenditure (1914-2007, current prices)",Military personnel,"Military expenditure (1830-1913, real prices)","Military expenditure (1914-2007, real prices)"
Afghanistan,1920,,,,55,,
Afghanistan,1921,,,,55,,
Afghanistan,1922,,,,55,,
Afghanistan,1923,,,,65,,
Afghanistan,1924,,,,65,,
Afghanistan,1925,,,,76,,
Afghanistan,1926,,,,76,,
Afghanistan,1927,,,,76,,
Afghanistan,1928,,,,60,,
Afghanistan,1929,,,,60,,
Afghanistan,1930,,,,60,,
Afghanistan,1931,,,4536,60,,43444.8
Afghanistan,1932,,,3731,60,,40467.76026
Afghanistan,1933,,,,72,,
Afghanistan,1934,,,,45,,
Afghanistan,1935,,,7172,72,,74249.69406
Afghanistan,1936,,,7363,103,,75275.41448
Afghanistan,1937,,,,103,,
Afghanistan,1938,,,6783,103,,68490.73613
Afghanistan,1939,,,,103,,
Afghanistan,1940,,,,60,,
Afghanistan,1941,,,,90,,
Afghanistan,1942,,,,90,,
Afghanistan,1943,,,,90,,
Afghanistan,1944,,,,90,,
Afghanistan,1945,,,,90,,
Afghanistan,1946,,,,90,,
Afghanistan,1947,,,,100,,
Afghanistan,1948,,,,90,,
Afghanistan,1949,,,,75,,
Afghanistan,1950,,,4654,75,,27717.53164
Afghanistan,1951,,,5657,60,,31470.90557
Afghanistan,1952,,,6730,60,,36814.94322
Afghanistan,1953,,,9596,41,,51834.85752
Afghanistan,1954,,,5012,41,,26825.66536
Afghanistan,1955,,,6504,43,,34229.59897
Afghanistan,1956,,,4814,43,,24500.83654
Afghanistan,1957,,,7227,43,,35587.43416
Afghanistan,1958,,,6252,43,,30116.25176
Afghanistan,1959,,,11073,50,,52596.75
Afghanistan,1960,,,14240,60,,66711.30435
Afghanistan,1961,,,14184,110,,65734.45161
Afghanistan,1962,,,13125,104,,60078.60537
Afghanistan,1963,,,14795,110,,66974.15976
Afghanistan,1964,,,14544,112,,64834.41263
Afghanistan,1965,,,13865,97,,60716.8369
Afghanistan,1966,,,16819,97,,71622.87624
Afghanistan,1967,,,17932,95,,74201.69176
Afghanistan,1968,,,20067,89,,79655.19292
Afghanistan,1969,,,20915,89,,79146.45795
Afghanistan,1970,,,19469,91,,69956.84116
Afghanistan,1971,,,29844,91,,102085.4286
Afghanistan,1972,,,32289,91,,105850.5288
Afghanistan,1973,,,32400,91,,100730.2961
Afghanistan,1974,,,34733,80,,99104.01986
Afghanistan,1975,,,40555,130,,105900.7956
Afghanistan,1976,,,42422,142,,105016.2509
Afghanistan,1977,,,52289,143,,121853.9047
Afghanistan,1978,,,59400,110,,129368.7766
Afghanistan,1979,,,58000,89,,116669.6143
Afghanistan,1980,,,238087,43,,439318.2612
Afghanistan,1981,,,326007,45,,550220.8003
Afghanistan,1982,,,326872,55,,519455.6196
Afghanistan,1983,,,296987,46,,454075.1574
Afghanistan,1984,,,210032,46,,310068.8747
Afghanistan,1985,,,286560,47,,409965.0314
Afghanistan,1986,,,,47,,
Afghanistan,1987,,,,50,,
Afghanistan,1988,,,,55,,
Afghanistan,1989,,,,55,,
Afghanistan,1990,,,430000,58,,527373.0717
Afghanistan,1991,,,,45,,
Afghanistan,1992,,,,45,,
Afghanistan,1993,,,,45,,
Afghanistan,1994,,,,45,,
Afghanistan,1995,,,200000,,,217445.5656
Afghanistan,1996,,,208000,,,222074.5763
Afghanistan,1997,,,209000,,,219395.0776
Afghanistan,1998,,,255000,,,264797.7428
Afghanistan,1999,,,250000,400,,255682.5278
Afghanistan,2000,,,250000,400,,250000
Afghanistan,2001,,,245000,,,239558.806
Afghanistan,2002,,,,50,,
Afghanistan,2003,,,,60,,
Afghanistan,2004,,,121000,43,,111183.6849
Afghanistan,2005,,,116000,27,,103263.833
Afghanistan,2006,,,120000,27,,103647.2946
Afghanistan,2007,,,153000,50,,128715.5332
Albania,1914,,,1663,2,,22107.64123
Albania,1915,,,1612,2,,20788.45354
Albania,1916,,,1598,2,,18276.56704
Albania,1917,,,1567,2,,14532.46093
Albania,1918,,,1545,3,,12295.43732
Albania,1919,,,1523,3,,11832.87192
Albania,1920,,,1493,4,,10179.9975
Albania,1921,,,1442,3,,11531.77539
Albania,1922,,,1411,5,,11948.99586
Albania,1923,,,1213,8,,9993.216298
Albania,1924,,,1104,8,,9206.370672
Albania,1925,,,1036,8,,8483.804
Albania,1926,,,975,8,,7952.465139
Albania,1927,,,1158,8,,9676.389796
Albania,1928,,,2351,10,,19486.17308
Albania,1929,,,2856,11,,23624.02424
Albania,1930,,,2822,11,,24223.6457
Albania,1931,,,2992,11,,28656.71111
Albania,1932,,,2832,13,,30716.88477
Albania,1933,,,2470,13,,27519.4966
Albania,1934,,,2342,13,,24746.62968
Albania,1935,,,2198,9,,22755.27434
Albania,1936,,,2486,9,,25415.54806
Albania,1937,,,2812,9,,27610.8729
Albania,1938,,,3143,9,,31736.16153
Albania,1939,,,6984,9,,71134.29851
Albania,1944,,,9156,60,,74754.22134
Albania,1945,,,10254,60,,81603.50437
Albania,1946,,,11946,60,,84187.43029
Albania,1947,,,12458,60,,79145.5097
Albania,1948,,,13874,60,,83539.84265
Albania,1949,,,15760,65,,95035.81738
Albania,1950,,,18865,60,,112353.08
Albania,1951,,,20011,55,,111324.7819
Albania,1952,,,20459,61,,111916.3333
Albania,1953,,,22779,53,,123045.6669
Albania,1954,,,28305,41,,151496.5
Albania,1955,,,31544,39,,166011.4499
Albania,1956,,,34268,37,,174406.8689
Albania,1957,,,37541,33,,184860.6428
Albania,1958,,,40027,31,,192812.4135
Albania,1959,,,42029,27,,199637.75
Albania,1960,,,52458,27,,245754.3261
Albania,1961,,,59236,50,,274523.828
Albania,1962,,,61663,50,,282257.2985
Albania,1963,,,72019,52,,326016.3577
Albania,1964,,,82560,52,,368036.9298
Albania,1965,,,83042,52,,363652.908
Albania,1966,,,91761,52,,390759.6615
Albania,1967,,,91769,52,,379735.3921
Albania,1968,,,96803,52,,384255.825
Albania,1969,,,94832,52,,358862.8688
Albania,1970,,,98041,52,,352285.1027
Albania,1971,,,115619,52,,395490.3889
Albania,1972,,,117214,52,,384253.5813
Albania,1973,,,124830,52,,388091.4465
Albania,1974,,,125194,53,,357217.3052
Albania,1975,,,131878,52,,344371.4739
Albania,1976,,,135621,52,,335731.6714
Albania,1977,,,137905,45,,321372.8073
Albania,1978,,,154359,45,,336182.4072
Albania,1979,,,167715,45,,337366.2822
Albania,1980,230,,171453,46,,316365.1683
Albania,1981,227,,188300,41,,317804.7609
Albania,1982,225,,156763,42,,249123.2694
Albania,1983,222,,130560,42,,199618.342
Albania,1984,220,,130000,41,,191918.154
Albania,1985,217,,188890,40,,270234.1387
Albania,1986,215,,168800,42,,236695.7534
Albania,1987,212,,196360,42,,268490.9067
Albania,1988,210,,157000,42,,207433.5269
Albania,1989,205,,167300,40,,212769.0169
Albania,1990,143,,171200,48,,209968.0695
Albania,1991,28,,103190,40,,122467.0884
Albania,1992,20,,34700,65,,40266.16126
Albania,1993,19,,105000,65,,119009.6886
Albania,1994,19,,97500,65,,108202.6697
Albania,1995,22,,89000,52,,96763.27669
Albania,1996,23,,103000,52,,109969.6219
Albania,1997,22,,94000,52,,98675.29804
Albania,1998,22,,102000,20,,105919.0971
Albania,1999,16,,140000,18,,143182.2156
Albania,2000,5,,113000,54,,113000
Albania,2001,80,,106000,27,,103645.8507
Albania,2002,140,,59000,27,,56814.55786
Albania,2003,140,,76000,22,,71750.51879
Albania,2004,143,,105000,21,,96481.71005
Albania,2005,145,,116000,21,,103263.833
Albania,2006,206,,141000,22,,121785.5711
Albania,2007,263,,198000,11,,166573.0429
Algeria,1962,6,,65000,45,,297532.1409
Algeria,1963,10,,79400,70,,359428.7452
Algeria,1964,20,,99251,65,,442442.264
Algeria,1965,23,,99251,60,,434634.4594
Algeria,1966,21,,99251,75,,422655.4545
Algeria,1967,23,,99251,75,,410695.5225
Algeria,1968,28,,99251,75,,393973.0679
Algeria,1969,30,,99251,80,,375585.2306
Algeria,1970,31,,99251,80,,356632.9263
Algeria,1971,28,,99470,80,,340250.5556
Algeria,1972,29,,111512,80,,365561.1561
Algeria,1973,28,,137657,80,,427970.0733
Algeria,1974,99,,260237,80,,742536.8617
Algeria,1975,126,,309322,80,,807728.9088
Algeria,1976,206,,385839,85,,955149.8099
Algeria,1977,285,,464711,75,,1082959.129
Algeria,1978,211,,601562,76,,1310157.239
Algeria,1979,450,,727349,88,,1463095.299
Algeria,1980,370,,890060,101,,1642339.193
Algeria,1981,557,,811620,101,,1369817.844
Algeria,1982,851,,848032,120,,1347668.164
Algeria,1983,893,,935023,130,,1429593.605
Algeria,1984,1130,,930440,170,,1373602.517
Algeria,1985,1215,,953300,170,,1363831.883
Algeria,1986,1123,,1160000,180,,1626582.192
Algeria,1987,1380,,1200000,170,,1640808.148
Algeria,1988,1301,,1050000,126,,1387294.288
Algeria,1989,943,,854000,126,,1086101.258
Algeria,1990,836,,904000,126,,1108709.9
Algeria,1991,840,,660000,126,,783295.6522
Algeria,1992,842,,1900000,126,,2204775.4
Algeria,1993,865,,1119000,126,,1268303.253
Algeria,1994,807,,1306000,126,,1449360.889
Algeria,1995,827,,1427000,120,,1551474.11
Algeria,1996,651,,1840000,119,,1964505.867
Algeria,1997,399,,2114000,124,,2219144.469
Algeria,1998,600,,3125000,120,,3245070.378
Algeria,1999,758,,3086000,120,,3156145.123
Algeria,2000,842,,2989000,124,,2989000
Algeria,2001,947,,3149000,124,,3079064
Algeria,2002,1091,,2098000,136,,2020287.159
Algeria,2003,1051,,2206000,127,,2082653.217
Algeria,2004,1014,,2805000,132,,2577439.969
Algeria,2005,1007,,2877000,137,,2561121.1
Algeria,2006,1158,,3096000,138,,2674100.2
Algeria,2007,1278,,4270000,138,,3592257.037
Angola,1975,5,,146004,30,,381258.5319
Angola,1976,5,,,35,,
Angola,1977,5,,,47,,
Angola,1978,10,,,47,,
Angola,1979,10,,529165,47,,1064439.25
Angola,1980,10,,682543,47,,1259428.713
Angola,1981,10,,688223,53,,1161553.616
Angola,1982,10,,781095,54,,1241293.801
Angola,1983,10,,563002,54,,860796.0004
Angola,1984,10,,,60,,
Angola,1985,10,,983690,66,,1407309.121
Angola,1986,10,,1090000,70,,1528426.37
Angola,1987,10,,819000,74,,1119851.561
Angola,1988,10,,819000,107,,1082089.545
Angola,1989,10,,2690000,107,,3421091.784
Angola,1990,10,,2732000,115,,3350658.679
Angola,1991,10,,538965,150,,639649.9109
Angola,1992,10,,,128,,
Angola,1993,9,,1100000,128,,1246768.166
Angola,1994,9,,524000,120,,581519.9892
Angola,1995,9,,400000,100,,434891.1312
Angola,1996,9,,460000,95,,491126.4668
Angola,1997,9,,764000,95,,801999.2309
Angola,1998,9,,974000,100,,1011423.535
Angola,1999,9,,1005000,100,,1027843.762
Angola,2000,9,,2000000,108,,2000000
Angola,2001,9,,1470000,130,,1437352.836
Angola,2002,,,1000000,100,,962958.6077
Angola,2003,,,366000,120,,345535.3931
Angola,2004,,,958000,114,,880280.7451
Angola,2005,,,1189000,108,,1058454.289
Angola,2006,,,1588000,108,,1371599.198
Angola,2007,,,2264000,107,,1904653.38
