Entity,Year,Countries Continents
Afghanistan,2015,Asia
Abkhazia,2015,Asia
Akrotiri and Dhekelia,2015,Asia
Albania,2015,Europe
Algeria,2015,Africa
American Samoa,2015,Oceania
Andorra,2015,Europe
Angola,2015,Africa
Anguilla,2015,North America
Antigua and Barbuda,2015,North America
Argentina,2015,South America
Antarctica,2015,Antarctica
Armenia,2015,Asia
Australia,2015,Oceania
Aruba,2015,North America
Austria,2015,Europe
Azerbaijan,2015,Asia
Austria-Hungary,2015,Europe
Bahamas,2015,North America
Bahrain,2015,Asia
Baden,2015,Europe
Bangladesh,2015,Asia
Barbados,2015,North America
Bavaria,2015,Europe
Belgium,2015,Europe
Belarus,2015,Europe
Belize,2015,North America
Benin,2015,Africa
Bhutan,2015,Asia
Bermuda,2015,North America
Bolivia,2015,South America
Bosnia and Herzegovina,2015,Europe
Bonaire Sint Eustatius and Saba,2015,North America
Botswana,2015,Africa
Brazil,2015,South America
Bouvet Island,2015,Antarctica
Brunei,2015,Asia
British Virgin Islands,2015,North America
British Indian Ocean Territory,2015,Asia
Bulgaria,2015,Europe
Burkina Faso,2015,Africa
Burundi,2015,Africa
Cambodia,2015,Asia
Cameroon,2015,Africa
Canada,2015,North America
Cape Verde,2015,Africa
Central African Republic,2015,Africa
Cayman Islands,2015,North America
Chile,2015,South America
Chad,2015,Africa
Channel Islands,2015,Europe
China,2015,Asia
Christmas Island,2015,Asia
Cocos Islands,2015,Asia
Congo,2015,Africa
Comoros,2015,Africa
Colombia,2015,South America
Cote d'Ivoire,2015,Africa
Costa Rica,2015,North America
Cook Islands,2015,Oceania
Cuba,2015,North America
Croatia,2015,Europe
Curacao,2015,North America
Czech Republic,2015,Europe
Cyprus,2015,Europe
Czechoslovakia,2015,Europe
Djibouti,2015,Africa
Denmark,2015,Europe
Democratic Republic of Congo,2015,Africa
Dominican Republic,2015,North America
East Germany,2015,Europe
Dominica,2015,North America
Egypt,2015,Africa
Ecuador,2015,South America
El Salvador,2015,North America
Eritrea,2015,Africa
Equatorial Guinea,2015,Africa
Eritrea and Ethiopia,2015,Africa
Estonia,2015,Europe
Ethiopia,2015,Africa
Faeroe Islands,2015,Europe
Finland,2015,Europe
Fiji,2015,Oceania
Falkland Islands,2015,South America
France,2015,Europe
French Polynesia,2015,Oceania
French Guiana,2015,South America
Gambia,2015,Africa
Gabon,2015,Africa
