Entity,Year,Countries Regions
Afghanistan,2015,South Asia
Abkhazia,2015,Europe & Central Asia
Akrotiri and Dhekelia,2015,Europe & Central Asia
Albania,2015,Europe & Central Asia
Algeria,2015,Middle East & North Africa
American Samoa,2015,East Asia & Pacific
Andorra,2015,Europe & Central Asia
Angola,2015,Sub-Saharan Africa
Anguilla,2015,Latin America & Caribbean
Antigua and Barbuda,2015,Latin America & Caribbean
Argentina,2015,Latin America & Caribbean
Antarctica,2015,Antarctica
Armenia,2015,Europe & Central Asia
Australia,2015,East Asia & Pacific
Aruba,2015,Latin America & Caribbean
Austria,2015,Europe & Central Asia
Azerbaijan,2015,Europe & Central Asia
Austria-Hungary,2015,Europe & Central Asia
Bahamas,2015,Latin America & Caribbean
Bahrain,2015,Middle East & North Africa
Baden,2015,Europe & Central Asia
Bangladesh,2015,South Asia
Barbados,2015,Latin America & Caribbean
Bavaria,2015,Europe & Central Asia
Belgium,2015,Europe & Central Asia
Belarus,2015,Europe & Central Asia
Belize,2015,Latin America & Caribbean
Benin,2015,Sub-Saharan Africa
Bhutan,2015,South Asia
Bermuda,2015,North America
Bolivia,2015,Latin America & Caribbean
Bosnia and Herzegovina,2015,Europe & Central Asia
Bonaire Sint Eustatius and Saba,2015,Latin America & Caribbean
Botswana,2015,Sub-Saharan Africa
Brazil,2015,Latin America & Caribbean
Bouvet Island,2015,Antarctica
Brunei,2015,East Asia & Pacific
British Virgin Islands,2015,Latin America & Caribbean
British Indian Ocean Territory,2015,East Asia & Pacific
Bulgaria,2015,Europe & Central Asia
Burkina Faso,2015,Sub-Saharan Africa
Burundi,2015,Sub-Saharan Africa
Cambodia,2015,East Asia & Pacific
Cameroon,2015,Sub-Saharan Africa
Canada,2015,North America
Cape Verde,2015,Sub-Saharan Africa
Central African Republic,2015,Sub-Saharan Africa
Cayman Islands,2015,Latin America & Caribbean
Chile,2015,Latin America & Caribbean
Chad,2015,Sub-Saharan Africa
Channel Islands,2015,Europe & Central Asia
China,2015,East Asia & Pacific
Christmas Island,2015,East Asia & Pacific
Cocos Islands,2015,East Asia & Pacific
Congo,2015,Sub-Saharan Africa
Comoros,2015,Sub-Saharan Africa
Colombia,2015,Latin America & Caribbean
Cote d'Ivoire,2015,Sub-Saharan Africa
Costa Rica,2015,Latin America & Caribbean
Cook Islands,2015,East Asia & Pacific
Cuba,2015,Latin America & Caribbean
Croatia,2015,Europe & Central Asia
Curacao,2015,Latin America & Caribbean
Czech Republic,2015,Europe & Central Asia
Cyprus,2015,Europe & Central Asia
Czechoslovakia,2015,Europe & Central Asia
Djibouti,2015,Middle East & North Africa
Denmark,2015,Europe & Central Asia
Democratic Republic of Congo,2015,Sub-Saharan Africa
Dominican Republic,2015,Latin America & Caribbean
East Germany,2015,Europe & Central Asia
Dominica,2015,Latin America & Caribbean
Egypt,2015,Middle East & North Africa
Ecuador,2015,Latin America & Caribbean
El Salvador,2015,Latin America & Caribbean
Eritrea,2015,Sub-Saharan Africa
Equatorial Guinea,2015,Sub-Saharan Africa
Eritrea and Ethiopia,2015,Sub-Saharan Africa
Estonia,2015,Europe & Central Asia
Ethiopia,2015,Sub-Saharan Africa
Faeroe Islands,2015,Europe & Central Asia
Finland,2015,Europe & Central Asia
Fiji,2015,East Asia & Pacific
Falkland Islands,2015,Latin America & Caribbean
France,2015,Europe & Central Asia
French Polynesia,2015,East Asia & Pacific
French Guiana,2015,Latin America & Caribbean
Gambia,2015,Sub-Saharan Africa
Gabon,2015,Sub-Saharan Africa
French Southern Territories,2015,Antarctica
Germany,2015,Europe & Central Asia
Ghana,2015,Sub-Saharan Africa
Georgia,2015,Europe & Central Asia
Greece,2015,Europe & Central Asia
Greenland,2015,Europe & Central Asia
Gibraltar,2015,Europe & Central Asia
Grenada,2015,Latin America & Caribbean
Guadeloupe,2015,Latin America & Caribbean
Guam,2015,East Asia & Pacific
Guinea,2015,Sub-Saharan Africa
Guatemala,2015,Latin America & Caribbean
Guernsey,2015,Europe & Central Asia
Guinea-Bissau,2015,Sub-Saharan Africa
Haiti,2015,Latin America & Caribbean
Guyana,2015,Latin America & Caribbean
Heard Island and McDonald Islands,2015,Antarctica
Hanover,2015,Europe & Central Asia
Hesse Electoral,2015,Europe & Central Asia
Honduras,2015,Latin America & Caribbean
Hong Kong,2015,East Asia & Pacific
Hesse Grand Ducal,2015,Europe & Central Asia
India,2015,South Asia
Hungary,2015,Europe & Central Asia
Iceland,2015,Europe & Central Asia
Iraq,2015,Middle East & North Africa
Iran,2015,Middle East & North Africa
Indonesia,2015,East Asia & Pacific
Ireland,2015,Europe & Central Asia
Israel,2015,Middle East & North Africa
Isle of Man,2015,Europe & Central Asia
Italy,2015,Europe & Central Asia
Japan,2015,East Asia & Pacific
Jamaica,2015,Latin America & Caribbean
Jordan,2015,Middle East & North Africa
Kazakhstan,2015,Europe & Central Asia
Jersey,2015,Europe & Central Asia
Kenya,2015,Sub-Saharan Africa
Kiribati,2015,East Asia & Pacific
Kosovo,2015,Europe & Central Asia
Laos,2015,East Asia & Pacific
Kyrgyzstan,2015,Europe & Central Asia
Kuwait,2015,Middle East & North Africa
Latvia,2015,Europe & Central Asia
Lesotho,2015,Sub-Saharan Africa
Lebanon,2015,Middle East & North Africa
Libya,2015,Middle East & North Africa
Liberia,2015,Sub-Saharan Africa
Liechtenstein,2015,Europe & Central Asia
Lithuania,2015,Europe & Central Asia
Luxembourg,2015,Europe & Central Asia
Macao,2015,East Asia & Pacific
Macedonia,2015,Europe & Central Asia
Malawi,2015,Sub-Saharan Africa
Madagascar,2015,Sub-Saharan Africa
Mali,2015,Sub-Saharan Africa
Malaysia,2015,East Asia & Pacific
Maldives,2015,South Asia
Malta,2015,Middle East & North Africa
Marshall Islands,2015,East Asia & Pacific
Martinique,2015,Latin America & Caribbean
Mauritania,2015,Sub-Saharan Africa
Mayotte,2015,Sub-Saharan Africa
Mauritius,2015,Sub-Saharan Africa
Mexico,2015,Latin America & Caribbean
Micronesia,2015,East Asia & Pacific
Mecklenburg Schwerin,2015,Europe & Central Asia
Moldova,2015,Europe & Central Asia
Monaco,2015,Europe & Central Asia
Modena,2015,Europe & Central Asia
Mongolia,2015,East Asia & Pacific
Montenegro,2015,Europe & Central Asia
Montserrat,2015,Latin America & Caribbean
Mozambique,2015,Sub-Saharan Africa
Morocco,2015,Middle East & North Africa
Myanmar,2015,East Asia & Pacific
Namibia,2015,Sub-Saharan Africa
Nauru,2015,East Asia & Pacific
Nagorno-Karabakh,2015,Europe & Central Asia
