Entity,Year,Coal production,Gas production,Hydropower production,Nuclear production,Oil production,Other Renewables
Africa,1900,0.5743836,-,-,-,-,-
Africa,1901,0.9638748,-,-,-,-,-
Africa,1902,1.4368284,-,-,-,-,-
Africa,1903,1.9497352,-,-,-,-,-
Africa,1904,2.2008672,-,-,-,-,-
Africa,1905,2.5347532,-,-,-,-,-
Africa,1906,2.8943684,-,-,-,-,-
Africa,1907,3.1940664,-,-,-,-,-
Africa,1908,3.3129656,-,-,-,-,-
Africa,1909,3.8022908,-,-,-,-,-
Africa,1910,4.3022896,-,-,-,-,-
Africa,1911,4.166218,-,-,-,0.003,-
Africa,1912,4.4163868,-,-,-,0.028,-
Africa,1913,4.8360088,-,-,-,0.013,-
Africa,1914,4.7607476,-,-,-,0.1,-
Africa,1915,4.8308092,-,-,-,0.03,-
Africa,1916,5.7125117,-,-,-,0.059,-
Africa,1917,6.1748603,-,-,-,0.138,-
Africa,1918,5.9139437,-,-,-,0.283,-
Africa,1919,6.1338907,-,-,-,0.225,-
Africa,1920,6.8403643,-,-,-,0.149,-
Africa,1921,6.7995725,-,-,-,0.183,-
Africa,1922,5.8094512,-,-,-,0.174,-
Africa,1923,7.0846083,-,-,-,0.154,-
Africa,1924,7.471072,-,-,-,0.165,-
Africa,1925,7.8461516,-,-,-,0.182,-
Africa,1926,8.42212,-,-,-,0.174,-
Africa,1927,8.269268,-,-,-,0.186,-
Africa,1928,8.4131376,-,-,-,0.269,-
Africa,1929,8.6008328,-,0.002579536,-,0.275,-
Africa,1930,8.0959508,-,0.002837489,-,0.287,-
Africa,1931,7.0297276,-,0.003353396,-,0.29,-
Africa,1932,6.2892116,-,0.004643164,-,0.272,-
Africa,1933,6.768314,-,0.008426483,-,0.24,-
Africa,1934,7.7704424,-,0.014789338,-,0.222,-
Africa,1935,8.6192904,-,0.014101462,-,0.182,-
Africa,1936,9.3654232,-,0.0144454,-,0.183,-
Africa,1937,10.0810836,-,0.019948409,-,0.174,-
Africa,1938,10.5708064,-,0.021152193,-,0.229,-
Africa,1939,10.914883,-,0.024763543,-,0.671,-
Africa,1940,11.4400888,-,0.029062769,-,0.934,-
Africa,1941,12.2941714,-,0.031298366,-,1.227,-
Africa,1942,13.5068458,-,0.032072227,-,1.187,-
Africa,1943,13.7462255,-,0.023559759,-,1.29,-
Africa,1944,15.2670217,-,0.029750645,-,1.358,-
Africa,1945,15.4872634,-,0.039122958,-,1.353,-
Africa,1946,15.6548217,0.07245,0.002579536,-,1.285,-
Africa,1947,15.5229228,0.07245,0.00266552,-,1.337,-
Africa,1948,16.0126449,0.07455,-,-,1.894,-
Africa,1949,17.0637481,0.0756,0.002837489,-,2.306,-
Africa,1950,17.8503003,0.079785533,0.065950129,-,2.649,-
Africa,1951,18.0987632,0.086071067,0.073602752,-,2.415,-
Africa,1952,19.171474,0.0881566,0.062338779,-,2.499,-
Africa,1953,19.7659364,0.095448733,0.10533104,-,2.539,-
Africa,1954,20.2845944,0.1058764,0.126397248,-,2.161,-
Africa,1955,22.4594356,0.104840867,0.144368014,-,1.978,-
Africa,1956,23.5168192,0.116361933,0.16844368,-,1.868,-
Africa,1957,24.4522124,0.1153698,0.238693035,-,2.677,-
Africa,1958,25.469766,0.122748733,0.255374033,-,4.499,-
Africa,1959,25.0670588,0.141533,0.282459157,-,5.819,-
Africa,1960,23.4613708,0.152033,0.340068788,-,13.799,-
Africa,1961,26.118974,0.244433,0.435339639,-,23.647,-
Africa,1962,26.90499,0.3903396,0.524505589,-,38.845,-
Africa,1963,27.5162384,0.523538867,0.542046432,-,57.216,-
Africa,1964,29.1936932,0.973641667,0.614359415,-,82.352,-
Africa,1965,31.656016,2.687684067,0.66044712,-,106.97,-
Africa,1966,31.332315,3.288133333,0.765348237,-,136.376,-
Africa,1967,31.7910299,2.751626733,0.709372313,-,152.17,-
Africa,1968,33.2880653,3.851925467,0.730524506,-,194.779,-
Africa,1969,33.7591289,3.231280267,0.790455718,-,247.311,-
Africa,1970,35.2435475,3.441770733,1.100343938,-,297.828,-
Africa,1971,37.7246352,4.1613628,1.189853826,-,283.237,-
Africa,1972,37.51902,7.1927996,1.215305245,-,283.838,-
Africa,1973,39.9129003,10.29350047,1.297506449,-,293.322,-
Africa,1974,42.0440657,10.95441713,1.30171969,-,269.55,-
Africa,1975,44.3057909,15.61497747,1.354514187,-,249.598,-
