Entity,Year,UDel_temp_popweight,UDel_max,UDel_min,UDel_var,UDel_mean,UDel_mean_2,UDel_prcp_max,UDel_prcp_min,UDel_prcp_var,UDel_prcp_mean,UDel_prcp_mean_2,UDel_precip_popweight
Afghanistan,2003,12.6900000000,25.7094214900,0.5809731170,84.5446521000,12.5366753500,157.1682290000,8.6629373330,0.3993658360,6.5576371300,2.7312536510,7.4597465080,328.0900000000
Afghanistan,2004,13.5900000000,24.8626710000,0.6592866380,78.2011408500,13.4129621200,179.9075528000,5.6717023230,0.2874696940,3.1550224910,2.2200744160,4.9287304110,275.5800000000
Afghanistan,2005,12.5000000000,25.7550344800,-1.7068764710,94.9152053900,12.7837358500,163.4239022000,6.2202050200,0.1268007850,5.9264949330,2.3845584490,5.6861189960,408.8100000000
Afghanistan,2006,13.0400000000,25.7277509900,-1.8067098860,93.9903689500,13.7672465700,189.5370780000,6.7662030590,0.3357094470,5.1792708600,2.2781433690,5.1899372100,472.3100000000
Afghanistan,2007,12.9100000000,25.0994273900,-1.4410971280,93.5281272000,12.9355713300,167.3290056000,9.7737383210,0.1187719430,9.0489729840,2.8757737520,8.2700746740,361.4300000000
Afghanistan,2008,13.2000000000,25.6542657000,-6.4125788000,114.8451692000,13.0319735700,169.8323351000,8.4961355720,0.5000859030,6.8042711000,2.8250206520,7.9807416850,359.5100000000
Afghanistan,2009,12.8500000000,24.8076905400,-0.2609731560,80.6531915100,12.6185947300,159.2289328000,9.7171728240,0.3317125350,9.8823194770,3.1090574740,9.6662383780,353.6800000000
Afghanistan,2010,14.2400000000,25.4434503500,1.7940885450,76.6429653500,13.8806091300,192.6713098000,6.2832026710,0.2339241760,3.0077062820,2.2526460740,5.0744143350,237.9100000000
Afghanistan,2011,,26.1375293500,0.0813734680,105.4804634000,13.9597994600,194.8760011000,8.1754732490,0.4090354520,5.0206047290,2.4199677780,5.8562440450,
Afghanistan,2012,,26.9578493600,-2.4156541240,112.8186353000,12.7840904600,163.4329689000,6.1185897520,0.4358023690,3.8384400360,2.7206522000,7.4019483940,
Afghanistan,2013,,27.0134589300,-0.1942168110,97.4913816200,13.9926681800,195.7947628000,6.6621119030,0.2335233650,5.5415715190,2.5722973550,6.6167136830,
Albania,1971,12.7000000000,23.0120517900,4.6569411140,45.1257402900,12.7092112700,161.5240510000,20.2111475600,1.0054166750,35.7428940500,10.5253525600,110.7830465000,1292.7600000000
Albania,1972,12.7900000000,21.2462702800,4.3209940230,37.2625723500,12.8008952500,163.8629191000,17.8354281700,1.1154665440,26.5855585600,10.5607439800,111.5293133000,1303.2200000000
Albania,1973,12.8700000000,22.3574705600,4.1495488240,50.7538635400,12.8619183000,165.4289425000,21.4922347100,2.6691998090,37.0187331500,10.7427878800,115.4074914000,1348.6300000000
Albania,1974,12.7600000000,22.7823021600,4.3615331250,43.1641948400,12.7413300000,162.3414902000,31.4038781600,1.3399749310,61.7721661900,11.6109558600,134.8142960000,1431.4400000000
Albania,1975,12.7400000000,21.5619079100,2.7801971770,47.8097392900,12.7428924900,162.3813091000,22.3729402000,2.1138810270,34.3206901000,7.5879491170,57.5769718000,950.8000000000
Albania,1976,12.2500000000,20.9250611600,3.7584018460,36.5730491600,12.2653001300,150.4375873000,22.8236841700,4.6675194380,41.4823405600,11.5230297000,132.7802135000,1449.5100000000
Albania,1977,13.3300000000,22.4151957900,4.3341259460,38.5058409100,13.3513424800,178.2583461000,20.0038567100,1.8890283600,28.2623509400,8.4636678310,71.6336731600,1037.0800000000
Albania,1978,12.3600000000,21.6334725200,3.9044632220,37.6805376800,12.4323780800,154.5640248000,17.4129904100,0.4456159760,38.6233982500,10.9057875000,118.9362011000,1360.2100000000
Albania,1979,13.1700000000,21.3080898800,3.3545613980,37.7843624200,13.1978560400,174.1834041000,33.0466585100,4.2764872040,71.3409561000,13.2825262700,176.4255042000,1616.3400000000
Albania,1980,12.3000000000,22.0844563200,2.3700875400,46.1196061300,12.3149613800,151.6582739000,23.9492899500,1.4410722620,56.7047657100,11.3635016800,129.1291704000,1338.7300000000
Albania,1981,12.8700000000,21.6338994600,1.5280554710,50.1715368000,12.6349770300,159.6426446000,23.6451167300,1.3518659640,44.9118735600,10.3912757600,107.9786120000,1203.0900000000
Albania,1982,13.3800000000,22.2390470100,3.5098588450,52.1336486100,13.2863851400,176.5280300000,22.1718373800,1.6235174820,35.0204407400,8.4652261140,71.6600531600,1005.2600000000
Albania,1983,12.6200000000,22.2079682000,2.8691300800,43.7793005700,12.5352784000,157.1332046000,14.6383345800,2.0457180760,14.2657615600,8.7884149790,77.2362378400,1020.3900000000
Albania,1984,12.7400000000,20.8698462700,4.9336450870,37.8763573400,12.7246590200,161.9169472000,20.5627536700,1.6147066430,34.3026558700,9.4811903340,89.8929701500,1070.2600000000
Albania,1985,13.1000000000,22.2793880100,2.1641593060,48.8391124300,13.0498089900,170.2975148000,38.1956176200,0.5585732890,110.2123609000,10.5553560100,111.4155405000,1239.0700000000
Albania,1986,13.2700000000,23.1409124200,3.5458083920,47.9834195800,13.2221941300,174.8264177000,20.6554494900,0.5099735120,36.9744274100,9.0178028100,81.3207675300,1009.4900000000
Albania,1987,13.2600000000,23.7173339800,3.3507032800,52.7372918600,13.2023145200,174.3011087000,18.0446762600,1.7360408000,31.3792632300,9.3637019230,87.6789137100,1065.3500000000
Albania,1988,13.3000000000,24.8960306100,4.0565089440,57.6448158300,13.1910213600,174.0030444000,17.8578714200,0.6463166780,28.6010486600,8.9041597000,79.2840599600,1026.1800000000
Albania,1989,12.9900000000,21.9718235300,2.7215967230,41.5747624300,12.8997628100,166.4038806000,14.5888957100,3.5237799590,13.3203097600,8.2534583310,68.1195744200,934.9400000000
Albania,1990,13.6300000000,22.7497229000,2.4674482190,44.7624186300,13.4850674900,181.8470451000,21.8100978700,0.9494888820,46.3423818700,8.8655407510,78.5978128100,1037.0600000000
Albania,1991,12.5500000000,22.4090249500,2.3432552580,52.0464980000,12.7324974900,162.1164924000,20.3526946500,1.7996462970,31.9263658500,8.7554922390,76.6586443500,1126.2100000000
Albania,1992,13.3500000000,24.5283569500,4.0566914550,49.3345189600,13.4215190500,180.1371735000,19.8046378900,0.4268329900,27.3098067500,8.3486682020,69.7002607500,957.4300000000
Albania,1993,13.3800000000,24.3994338500,3.3681982300,53.8519961200,13.6721302000,186.9271442000,20.2903219100,1.3296130400,31.7076546000,8.0173027710,64.2771437300,1006.0400000000
Albania,1994,14.5100000000,25.2718084000,5.7223614660,48.4456990600,14.6540097800,214.7400026000,15.3853778600,2.8749899900,21.8817973700,8.4114468370,70.7524378900,1070.9600000000
Albania,1995,13.2100000000,23.0899390700,3.5243466060,44.2825983300,13.2859497800,176.5164614000,21.3918776800,2.2497938360,31.9156555500,11.0260563800,121.5739193000,1266.0200000000
Albania,1996,12.8000000000,22.8918800700,4.7265070780,48.0456042300,13.1586458100,173.1499595000,19.8741709500,1.6274240020,37.7816546300,10.8026256300,116.6967206000,1236.1500000000
Albania,1997,12.8400000000,22.0871409600,6.0679410480,41.2849312900,13.2077706200,174.4452047000,20.2662410800,1.0683485470,38.0075634800,7.5820939780,57.4881490800,923.7200000000
Albania,1998,13.4000000000,23.9732003300,3.7621327580,50.8699870200,13.6201210100,185.5076964000,17.4131491700,3.5325337880,18.1135934300,10.0298481400,100.5978536000,1217.1100000000
Albania,1999,13.9100000000,24.0807871100,3.9823209170,52.3938740400,14.1215308400,199.4176333000,22.3091283200,2.4002324950,39.8816653400,10.2679612300,105.4310279000,1260.1900000000
Albania,2000,14.1800000000,23.7001764100,0.6618930510,56.2428953400,14.0553256300,197.5521785000,20.9276308600,0.7878816760,36.2115785500,9.1473230900,83.6735197100,1083.9500000000
Albania,2001,13.8600000000,24.0517877200,1.4619548160,48.6984315500,13.9634241800,194.9772147000,15.7364648100,1.8139366430,26.9061409900,8.4919412940,72.1130669300,1047.6000000000
Albania,2002,13.9000000000,23.4335552800,3.2087626200,40.3767649500,13.9097453000,193.4810142000,20.6161468500,3.3903118500,19.2377282500,9.9735112680,99.4709270100,1208.7700000000
Albania,2003,14.2900000000,25.1144310100,2.2493867040,62.8590506300,14.1831067200,201.1605162000,23.1837172500,0.8839946200,55.0249471500,10.0000450500,100.0009010000,1220.3800000000
Albania,2004,13.6800000000,22.9779255300,3.6417214230,44.4208124700,13.6084959200,185.1911613000,19.6880177200,2.4482330340,28.3275878900,11.3289303600,128.3446631000,1366.1400000000
Albania,2005,13.1000000000,22.9127482300,3.0536548650,52.2032201000,12.9995691400,168.9887978000,21.6220720700,4.6728902980,32.5509581800,11.0014037800,121.0308851000,1326.2500000000
Albania,2006,12.9300000000,22.2206507600,2.1427247660,50.3410520800,12.8375547700,164.8028124000,15.2747125800,4.3565812100,10.9480006900,9.4437692640,89.1847779200,1164.6700000000
Albania,2007,13.9100000000,24.2464894800,4.4936199030,47.8333394600,13.8276124400,191.2028659000,18.2589589100,0.5269969230,28.6359153500,8.7217609320,76.0691137600,1074.2100000000
Albania,2008,13.9100000000,23.5868636100,4.4876066270,44.7483855800,13.8236162600,191.0923666000,21.6999605000,1.2827488620,29.0129911000,8.5336026280,72.8223738100,1054.8900000000
Albania,2009,13.8900000000,24.2453301200,4.8978647460,46.5414951600,14.3097186300,204.7680474000,24.3333511900,1.6601810210,62.7298632300,12.3973681700,153.6947376000,1497.8300000000
Albania,2010,13.8100000000,24.2495591200,4.9018150410,43.8003215800,14.1251114100,199.5187722000,26.1272181300,1.5844719440,72.4710662300,13.5746505600,184.2711379000,1661.6700000000
Albania,2011,,24.8716498700,3.8637147110,57.5399559500,14.0271331300,196.7604640000,16.2369970400,1.7884416960,18.7336632900,7.1519868800,51.1509163300,
Albania,2012,,26.3351035300,2.6050684150,71.0888124700,14.7332609600,217.0689785000,23.2235386500,1.3971287080,51.7926452000,10.5434460700,111.1642550000,
Albania,2013,,24.9954537200,5.6866697470,47.3675781700,14.8532890500,220.6201955000,19.3709282000,2.7392377420,38.9464168700,10.2677682800,105.4270655000,
Algeria,1961,17.2500000000,26.9828129000,7.7524330960,43.7091579800,17.6271401500,310.7160700000,10.3861019800,0.5557193690,8.0505976950,2.8242027010,7.9761208990,354.8800000000
Algeria,1962,16.7100000000,26.8798741200,8.3631421720,48.6151296900,16.8511380500,283.9608535000,10.7454067000,0.2683812290,9.7509102080,4.7619767390,22.6764224600,578.3400000000
