Entity,Year,Fruit consumption per capita- FAOstat
Afghanistan,1961,41.13
Afghanistan,1962,38
Afghanistan,1963,38.25
Afghanistan,1964,47.92
Afghanistan,1965,48.69
Afghanistan,1966,46.26
Afghanistan,1967,54.7
Afghanistan,1968,55.94
Afghanistan,1969,55.32
Afghanistan,1970,51.04
Afghanistan,1971,37.07
Afghanistan,1972,45.18
Afghanistan,1973,48.36
Afghanistan,1974,46.04
Afghanistan,1975,45.52
Afghanistan,1976,41.58
Afghanistan,1977,24.66
Afghanistan,1978,32.66
Afghanistan,1979,28.55
Afghanistan,1980,31.99
Afghanistan,1981,25.9
Afghanistan,1982,25.94
Afghanistan,1983,25.3
Afghanistan,1984,27.62
Afghanistan,1985,28.36
Afghanistan,1986,28.85
Afghanistan,1987,28.87
Afghanistan,1988,34.42
Afghanistan,1989,32.76
Afghanistan,1990,36.2
Afghanistan,1991,39.07
Afghanistan,1992,32.84
Afghanistan,1993,31.59
Afghanistan,1994,30.21
Afghanistan,1995,29.15
Afghanistan,1996,27.78
Afghanistan,1997,27.8
Afghanistan,1998,27.85
Afghanistan,1999,25.61
Afghanistan,2000,24.74
Afghanistan,2001,27.89
Afghanistan,2002,25.69
Afghanistan,2003,20.86
Afghanistan,2004,21.61
Afghanistan,2005,21.8
Afghanistan,2006,22.24
Afghanistan,2007,20.24
Afghanistan,2008,18.56
Afghanistan,2009,20.65
Afghanistan,2010,25.37
Afghanistan,2011,26.19
Afghanistan,2012,33.61
Afghanistan,2013,34.05
Albania,1961,57.14
Albania,1962,49.86
Albania,1963,31.9
Albania,1964,41.21
Albania,1965,38.96
Albania,1966,49.74
Albania,1967,41.22
Albania,1968,46.48
Albania,1969,46.53
Albania,1970,44.42
Albania,1971,40.03
Albania,1972,40.03
Albania,1973,42.76
Albania,1974,41.4
Albania,1975,44.62
Albania,1976,47.35
Albania,1977,43.7
Albania,1978,46.3
Albania,1979,42.85
Albania,1980,40.97
Albania,1981,40.43
Albania,1982,49.95
Albania,1983,47.49
Albania,1984,40.44
Albania,1985,39.72
Albania,1986,38.57
Albania,1987,36.4
Albania,1988,35.65
Albania,1989,41.13
Albania,1990,31.96
Albania,1991,26.35
Albania,1992,19.58
Albania,1993,34.87
Albania,1994,38.51
Albania,1995,40.32
Albania,1996,46.04
Albania,1997,41.31
Albania,1998,48.03
Albania,1999,57.64
Albania,2000,70.53
Albania,2001,83.58
Albania,2002,87.34
Albania,2003,92.01
Albania,2004,94.35
Albania,2005,102.89
Albania,2006,110.82
Albania,2007,118.83
Albania,2008,118.96
Albania,2009,125.57
Albania,2010,132.31
Albania,2011,133.59
Albania,2012,139.75
Albania,2013,142
Algeria,1961,31.66
Algeria,1962,27.53
Algeria,1963,27.49
Algeria,1964,37.35
Algeria,1965,32.02
Algeria,1966,30.47
Algeria,1967,34.31
Algeria,1968,34.06
Algeria,1969,35.63
Algeria,1970,39.79
Algeria,1971,41.59
Algeria,1972,42.3
Algeria,1973,40.53
Algeria,1974,45.04
Algeria,1975,46.91
Algeria,1976,43.85
Algeria,1977,39.08
Algeria,1978,34.5
Algeria,1979,41.68
Algeria,1980,41.28
Algeria,1981,39.13
Algeria,1982,39.31
Algeria,1983,34.05
Algeria,1984,39.56
Algeria,1985,43.38
Algeria,1986,42.93
Algeria,1987,35.99
Algeria,1988,36.69
Algeria,1989,36.49
Algeria,1990,33.34
Algeria,1991,36.78
