Entity,Year,Total Real GDP,Real GDP per capita
United Kingdom,1270,4746226719,652.4523471
United Kingdom,1271,4696908381,644.6613709
United Kingdom,1272,4873209841,667.8115284
United Kingdom,1273,4596596809,628.9186179
United Kingdom,1274,4579510028,625.5993592
United Kingdom,1275,5234585314,713.9680936
United Kingdom,1276,4606634698,627.335027
United Kingdom,1277,4919066527,668.8330099
United Kingdom,1278,5100026263,692.3515303
United Kingdom,1279,4233098896,573.7621556
United Kingdom,1280,4300447452,579.1534511
United Kingdom,1281,4573174662,611.9336145
United Kingdom,1282,4439160629,590.192791
United Kingdom,1283,4223317647,557.8960751
United Kingdom,1284,4370709108,573.6645068
United Kingdom,1285,4428812332,577.5636784
United Kingdom,1286,4369203496,566.1368017
United Kingdom,1287,4785973974,616.1634965
United Kingdom,1288,4643310730,593.9636936
United Kingdom,1289,4287477072,544.9297028
United Kingdom,1290,4351399317,549.5081374
United Kingdom,1291,4359778947,550.8575715
United Kingdom,1292,4591441724,580.4350024
United Kingdom,1293,4699618534,594.4246215
United Kingdom,1294,4664092400,590.2431996
United Kingdom,1295,4994759336,632.4236149
United Kingdom,1296,5194234785,658.0285726
United Kingdom,1297,4969798660,629.9290465
United Kingdom,1298,5227276813,662.91524
United Kingdom,1299,5033937633,638.7339484
United Kingdom,1300,4999165706,634.6574254
United Kingdom,1301,5034167451,639.4390503
United Kingdom,1302,5164115456,656.2919925
United Kingdom,1303,5378072738,683.8447202
United Kingdom,1304,4864826038,618.9104361
United Kingdom,1305,4999511891,636.3818152
United Kingdom,1306,4855008079,618.3149919
United Kingdom,1307,5089127084,648.4743169
United Kingdom,1308,5148778250,656.4223151
United Kingdom,1309,5275607981,672.9477258
United Kingdom,1310,5205229466,664.3215751
United Kingdom,1311,5388173705,688.033731
United Kingdom,1312,5245277856,670.1411788
United Kingdom,1313,5338210100,682.3750412
United Kingdom,1314,5339399011,682.8880486
United Kingdom,1315,4797356741,613.8875341
United Kingdom,1316,4528188617,587.0548638
United Kingdom,1317,4736629768,622.1441248
United Kingdom,1318,5225933174,695.4290019
United Kingdom,1319,5247885855,707.5232387
United Kingdom,1320,5075295600,693.2422973
United Kingdom,1321,4291710405,593.911182
United Kingdom,1322,4515893582,633.1435317
United Kingdom,1323,4684301329,665.3814389
United Kingdom,1324,4267546280,614.1457902
United Kingdom,1325,4618206464,673.3393055
United Kingdom,1326,4706112669,681.4944515
United Kingdom,1327,4653642434,669.3178338
United Kingdom,1328,4348848445,621.2308879
United Kingdom,1329,4602697002,653.0260946
United Kingdom,1330,4510131212,635.5455887
United Kingdom,1331,4324882156,605.3007223
United Kingdom,1332,4579895999,636.6370536
United Kingdom,1333,4745802483,655.2172716
United Kingdom,1334,4617315156,633.1470361
United Kingdom,1335,4451043403,606.200473
United Kingdom,1336,4690205120,634.4328472
United Kingdom,1337,5229858905,702.6243199
United Kingdom,1338,5363885304,715.7346955
United Kingdom,1339,4404843543,583.7709194
United Kingdom,1340,4965154338,653.5579537
United Kingdom,1341,5047416131,659.8722193
United Kingdom,1342,5315779497,690.2351523
United Kingdom,1343,5199395671,670.5364113
United Kingdom,1344,5586020600,715.5029232
United Kingdom,1345,5234113859,665.8730334
United Kingdom,1346,5003845723,632.2539549
United Kingdom,1347,5231430306,656.5192571
United Kingdom,1348,5397365383,672.7415116
United Kingdom,1349,4130835853,631.9665253
United Kingdom,1350,3832741334,719.70642
United Kingdom,1351,3607318898,831.4193597
United Kingdom,1352,3733826636,861.9193736
United Kingdom,1353,3739214994,864.5096128
United Kingdom,1354,3575833458,828.0252317
United Kingdom,1355,3679686485,853.4026795
United Kingdom,1356,3624014337,841.8020687
United Kingdom,1357,3687035491,857.7768019
United Kingdom,1358,3700452259,862.2410226
United Kingdom,1359,3735016841,871.6524142
United Kingdom,1360,3704298928,865.8321261
United Kingdom,1361,3568863693,835.4770571
United Kingdom,1362,3469918532,813.5808969
United Kingdom,1363,3363696883,789.905639
United Kingdom,1364,3731214608,877.5775157
United Kingdom,1365,3559574236,838.5137921
United Kingdom,1366,3661437393,863.8546302
United Kingdom,1367,3430782500,810.6980645
United Kingdom,1368,3401958803,805.1409157
United Kingdom,1369,3171760853,751.8309133
United Kingdom,1370,3548730619,842.4995452
United Kingdom,1371,3428565101,815.2408606
United Kingdom,1372,3096313316,737.3867612
United Kingdom,1373,3347463284,798.4415979
United Kingdom,1374,3074014288,734.3618576
United Kingdom,1375,2960213541,708.278678
United Kingdom,1376,3416060020,818.6221978
United Kingdom,1377,3511365455,842.7736596
United Kingdom,1378,3446844436,833.8874103
United Kingdom,1379,3139794266,765.6631372
United Kingdom,1380,3256778407,800.5262347
United Kingdom,1381,3315743734,821.5218699
United Kingdom,1382,3404010458,850.1192884
United Kingdom,1383,3228836512,812.8040383
United Kingdom,1384,3625091834,919.8343477
United Kingdom,1385,3279350406,838.7436529
United Kingdom,1386,3639804449,938.361728
United Kingdom,1387,3640559248,946.0435973
United Kingdom,1388,3342091302,875.4113441
United Kingdom,1389,3434461126,906.7828083
United Kingdom,1390,3197150030,850.8607726
United Kingdom,1391,3558407346,954.5572048
United Kingdom,1392,3982575111,1076.864563
United Kingdom,1393,3274284583,892.4098317
United Kingdom,1394,3577464396,982.8201592
United Kingdom,1395,3406590394,943.3426407
United Kingdom,1396,3409671239,951.7280455
United Kingdom,1397,3317414340,933.3636672
United Kingdom,1398,3533003536,1001.95002
United Kingdom,1399,3374404109,964.6058467
United Kingdom,1400,3263557597,940.3616148
United Kingdom,1401,3219091244,928.5014658
United Kingdom,1402,3302435192,953.5189007
United Kingdom,1403,3353777029,969.337209
United Kingdom,1404,3408589843,986.191237
United Kingdom,1405,3411764236,988.1232123
United Kingdom,1406,3161896396,916.6961772
United Kingdom,1407,3163841621,918.2019596
United Kingdom,1408,2925119936,849.7924214
United Kingdom,1409,3025047854,879.7253785
United Kingdom,1410,3212227502,935.118961
United Kingdom,1411,3143894836,916.1662159
United Kingdom,1412,3069241260,895.3296892
United Kingdom,1413,2780791680,812.0188464
United Kingdom,1414,3158118618,923.1489652
United Kingdom,1415,3229204312,944.8972143
United Kingdom,1416,3112139767,911.5779959
United Kingdom,1417,3400129458,996.9557646
United Kingdom,1418,3224429815,946.409432
United Kingdom,1419,3393947553,997.1877941
United Kingdom,1420,3309116757,973.2616559
United Kingdom,1421,3088351344,909.2638392
United Kingdom,1422,3187784380,939.5023097
United Kingdom,1423,3362246378,991.9371228
United Kingdom,1424,3386924056,1000.243559
United Kingdom,1425,3268305647,966.2036302
United Kingdom,1426,3167823773,937.4599214
United Kingdom,1427,3083345885,913.3971193
United Kingdom,1428,2893109940,857.9224344
United Kingdom,1429,2991075112,887.8837382
United Kingdom,1430,3076093853,914.0586442
United Kingdom,1431,3088823556,920.5419611
United Kingdom,1432,3047747884,910.973069
United Kingdom,1433,3135516509,939.9648257
United Kingdom,1434,3320058887,998.2154972
United Kingdom,1435,2947322734,888.7553459
United Kingdom,1436,2743550372,829.7427782
United Kingdom,1437,2630583092,797.9185799
United Kingdom,1438,2759258168,839.4114734
United Kingdom,1439,2879358769,878.5254688
United Kingdom,1440,2903926766,888.6285158
United Kingdom,1441,2565080651,787.2480999
United Kingdom,1442,2653269192,816.7100906
United Kingdom,1443,3207243922,990.1354473
United Kingdom,1444,3200161936,990.8560922
United Kingdom,1445,2758143556,856.5081621
United Kingdom,1446,2930916050,912.8386696
United Kingdom,1447,2999005379,936.7935795
United Kingdom,1448,3096444071,970.0763384
United Kingdom,1449,2838431345,891.8608014
United Kingdom,1450,2923488541,921.2894309
United Kingdom,1451,2936856780,922.8012808
United Kingdom,1452,2906521841,910.604388
United Kingdom,1453,2938409942,917.9082222
United Kingdom,1454,2947348706,918.0136185
United Kingdom,1455,2931497722,910.4118278
United Kingdom,1456,2970438924,919.8132997
United Kingdom,1457,2723549710,840.9014307
United Kingdom,1458,2890098533,889.7196083
United Kingdom,1459,2851798853,875.3669184
United Kingdom,1460,2858512591,874.8670838
United Kingdom,1461,2876276334,877.7347701
United Kingdom,1462,3151994369,959.0667953
United Kingdom,1463,3197550691,970.0890172
United Kingdom,1464,2923050683,884.2218096
United Kingdom,1465,2843901354,857.7685769
United Kingdom,1466,2828364543,850.5928271
United Kingdom,1467,2921650691,876.0831959
United Kingdom,1468,3055607482,913.5774084
United Kingdom,1469,3020934360,900.5748264
United Kingdom,1470,2941396299,874.30464
United Kingdom,1471,2817588128,835.0596088
United Kingdom,1472,2917440419,862.1298694
United Kingdom,1473,2899590846,854.3545642
United Kingdom,1474,3059644562,898.8829212
United Kingdom,1475,2975054999,871.4809086
United Kingdom,1476,2764643740,807.4818715
United Kingdom,1477,2897686513,843.8703599
United Kingdom,1478,2984987756,866.7575135
United Kingdom,1479,3161306256,915.2765998
United Kingdom,1480,3258172485,940.5688415
United Kingdom,1481,3119088510,897.7903689
United Kingdom,1482,2988230722,857.6144644
United Kingdom,1483,3139140922,898.2960926
United Kingdom,1484,3114537156,888.6544948
United Kingdom,1485,2949024388,838.9740289
United Kingdom,1486,3273657684,928.6116869
United Kingdom,1487,2997515801,847.7993688
United Kingdom,1488,3065210896,864.4157991
United Kingdom,1489,3139575459,882.8033823
United Kingdom,1490,3164367660,887.1779259
United Kingdom,1491,3195803460,893.3766149
United Kingdom,1492,3239397297,902.92039
United Kingdom,1493,3191978822,887.1069336
United Kingdom,1494,3348095392,927.7789674
United Kingdom,1495,3287679862,908.3787136
United Kingdom,1496,3189696724,878.7342359
United Kingdom,1497,3407870092,936.0992842
United Kingdom,1498,3446726037,944.0095208
United Kingdom,1499,3465482640,946.3767551
United Kingdom,1500,3413020486,929.3300052
United Kingdom,1501,3294091813,894.3293661
United Kingdom,1502,3415389627,924.5550484
United Kingdom,1503,3564338285,962.0600085
United Kingdom,1504,3576715022,962.5832779
United Kingdom,1505,3616922035,970.5632634
United Kingdom,1506,3634994410,972.5662089
United Kingdom,1507,3570542779,952.5338039
United Kingdom,1508,3622067975,963.4595373
United Kingdom,1509,3792607644,1005.878504
United Kingdom,1510,3659825738,967.8292553
United Kingdom,1511,3735723486,985.0171427
United Kingdom,1512,3570861426,938.7993719
