Entity,Year,GDP per capita
India,1870,722.26
India,1884,745.82
India,1885,767.78
India,1886,742.09
India,1887,774.49
India,1888,780.16
India,1889,757.57
India,1890,791.36
India,1891,717.33
India,1892,773.59
India,1893,791.80
India,1894,802.55
India,1895,781.46
India,1896,722.59
India,1897,853.15
India,1898,853.41
India,1899,785.59
India,1900,811.74
India,1901,823.44
India,1902,886.72
India,1903,893.85
India,1904,892.60
India,1905,871.08
India,1906,890.52
India,1907,831.53
India,1908,838.36
India,1909,947.83
India,1910,943.70
India,1911,935.74
India,1912,932.99
India,1913,911.09
India,1914,959.91
India,1915,935.72
India,1916,962.09
India,1917,943.80
India,1918,822.36
India,1919,935.10
India,1920,860.24
India,1921,920.44
India,1922,949.69
India,1923,909.41
India,1924,944.36
India,1925,945.97
India,1926,965.80
India,1927,956.40
India,1928,956.36
India,1929,985.90
India,1930,983.03
India,1931,963.38
India,1932,960.66
India,1933,948.10
India,1934,943.72
India,1935,921.80
India,1936,944.27
India,1937,915.96
India,1938,905.48
India,1939,912.61
India,1940,929.74
India,1941,935.67
India,1942,920.53
India,1943,945.85
India,1944,925.06
India,1945,899.54
India,1946,842.36
India,1947,836.66
India,1948,835.79
India,1949,845.79
India,1950,838.59
India,1951,843.89
India,1952,852.72
India,1953,889.93
India,1954,909.94
India,1955,915.32
India,1956,949.26
India,1957,920.58
India,1958,969.51
India,1959,971.54
India,1960,1020.46
India,1961,1027.49
India,1962,1027.11
India,1963,1055.31
India,1964,1112.56
India,1965,1044.17
India,1966,1032.37
India,1967,1093.30
India,1968,1095.59
India,1969,1144.42
India,1970,1175.91
India,1971,1159.94
India,1972,1129.59
India,1973,1155.82
India,1974,1142.62
India,1975,1215.67
India,1976,1204.86
India,1977,1268.92
India,1978,1308.12
India,1979,1212.97
India,1980,1271.35
India,1981,1323.19
India,1982,1335.05
India,1983,1412.73
India,1984,1435.49
India,1985,1461.23
India,1986,1491.79
India,1987,1523.50
India,1988,1647.28
India,1989,1720.49
India,1990,1773.12
India,1991,1755.74
India,1992,1815.33
India,1993,1864.51
India,1994,1950.42
India,1995,2058.26
India,1996,2172.02
India,1997,2218.03
India,1998,2312.13
India,1999,2471.49
India,2000,2521.34
India,2001,2597.59
India,2002,2651.13
India,2003,2812.62
India,2004,2986.82
India,2005,3213.06
India,2006,3457.06
India,2007,3698.64
India,2008,3786.75
India,2009,4049.96
India,2010,4404.54
India,2011,4634.95
India,2012,4832.82
India,2013,5089.58
India,2014,5391.69
India,2015,5729.78
China,1820,489.51
China,1850,489.51
China,1870,432.40
China,1890,440.95
China,1900,444.96
China,1913,450.59
China,1929,458.92
China,1930,463.10
China,1931,464.36
China,1932,475.57
China,1933,472.06
China,1934,428.66
China,1935,460.82
China,1936,487.36
China,1937,472.99
China,1938,458.76
China,1950,365.52
China,1951,400.60
China,1952,438.62
China,1953,450.50
China,1954,454.38
China,1955,470.37
China,1956,502.66
China,1957,518.88
China,1958,563.25
China,1959,559.99
China,1960,540.21
China,1961,451.08
China,1962,449.08
China,1963,481.59
China,1964,526.08
China,1965,572.40
China,1966,608.89
China,1967,576.75
China,1968,550.63
China,1969,581.68
China,1970,635.02
China,1971,648.57
China,1972,651.32
China,1973,684.01
China,1974,681.36
China,1975,710.76
China,1976,695.66
China,1977,729.07
China,1978,797.87
China,1979,848.01
China,1980,865.67
China,1981,905.76
China,1982,967.65
China,1983,1026.14
China,1984,1138.82
China,1985,1239.41
China,1986,1302.93
China,1987,1417.18
China,1988,1493.05
China,1989,1496.43
China,1990,1526.41
China,1991,1645.67
China,1992,1856.72
China,1993,2090.04
China,1994,2336.28
China,1995,2564.07
China,1996,2789.25
China,1997,3015.70
China,1998,3221.00
China,1999,3438.07
China,2000,3700.74
China,2001,3980.36
China,2002,4314.79
China,2003,4718.33
China,2004,5164.64
China,2005,5719.46
China,2006,6411.04
China,2007,7285.27
China,2008,7947.79
China,2009,8651.73
China,2010,9525.82
China,2011,10384.37
China,2012,11145.75
China,2013,11951.25
China,2014,12758.65
China,2015,13571.69
Chile,1850,1313.49
Chile,1860,1562.04
Chile,1870,1863.36
Chile,1871,1839.30
Chile,1872,1947.67
Chile,1873,2045.90
Chile,1874,1931.11
Chile,1875,2059.60
Chile,1876,2007.26
Chile,1877,1913.92
Chile,1878,1999.91
Chile,1879,2269.84
Chile,1880,2513.12
Chile,1881,2563.44
Chile,1882,2736.86
Chile,1883,2714.19
Chile,1884,2699.19
Chile,1885,2581.70
Chile,1886,2653.19
Chile,1887,2799.55
Chile,1888,2652.00
Chile,1889,2683.82
Chile,1890,2839.92
Chile,1891,3030.99
Chile,1892,2931.49
Chile,1893,3037.31
Chile,1894,2949.15
Chile,1895,3116.29
Chile,1896,3094.78
Chile,1897,2988.94
Chile,1898,3310.45
Chile,1899,3291.05
Chile,1900,3168.59
Chile,1901,3209.73
Chile,1902,3310.91
Chile,1903,3088.80
Chile,1904,3303.55
Chile,1905,3262.77
Chile,1906,3478.18
Chile,1907,3621.03
Chile,1908,3960.72
Chile,1909,3936.41
Chile,1910,4332.72
Chile,1911,4168.69
Chile,1912,4285.99
Chile,1913,4315.73
Chile,1914,3605.91
Chile,1915,3450.30
Chile,1916,4181.18
Chile,1917,4221.82
Chile,1918,4225.51
Chile,1919,3582.29
Chile,1920,3997.78
Chile,1921,3422.44
Chile,1922,3503.28
Chile,1923,4165.90
Chile,1924,4421.64
Chile,1925,4552.71
Chile,1926,4116.64
Chile,1927,3985.64
Chile,1928,4812.55
Chile,1929,4990.29
Chile,1930,4128.59
Chile,1931,3202.73
Chile,1932,2663.74
Chile,1933,3229.70
Chile,1934,3835.02
Chile,1935,3987.75
Chile,1936,4112.26
Chile,1937,4594.31
Chile,1938,4564.91
Chile,1939,4577.00
Chile,1940,4673.70
Chile,1941,4535.79
Chile,1942,4658.49
Chile,1943,4702.43
Chile,1944,4702.00
Chile,1945,5013.48
Chile,1946,5342.53
Chile,1947,4679.39
Chile,1948,5360.65
Chile,1949,5154.01
Chile,1950,5299.79
Chile,1951,5388.26
Chile,1952,5622.27
Chile,1953,5938.69
Chile,1954,5642.80
Chile,1955,5741.20
Chile,1956,5714.37
Chile,1957,6158.30
Chile,1958,6342.23
Chile,1959,5837.44
Chile,1960,6167.08
Chile,1961,6305.76
Chile,1962,6448.65
Chile,1963,6699.99
Chile,1964,6698.55
Chile,1965,6610.24
Chile,1966,7198.48
Chile,1967,7287.09
Chile,1968,7405.28
Chile,1969,7539.29
Chile,1970,7555.16
Chile,1971,8083.56
Chile,1972,7839.86
Chile,1973,7269.57
Chile,1974,7209.36
Chile,1975,6171.43
Chile,1976,6277.92
Chile,1977,6787.80
Chile,1978,7236.33
Chile,1979,7718.69
Chile,1980,8203.58
Chile,1981,8567.56
Chile,1982,7271.41
Chile,1983,6946.87
Chile,1984,7236.66
Chile,1985,7263.62
Chile,1986,7549.37
Chile,1987,7914.50
Chile,1988,8347.97
Chile,1989,9073.68
Chile,1990,9244.16
Chile,1991,9821.83
Chile,1992,10854.70
Chile,1993,11434.59
Chile,1994,11906.41
Chile,1995,12980.62
Chile,1996,13747.26
Chile,1997,14456.47
Chile,1998,14727.22
Chile,1999,14427.98
Chile,2000,14887.90
Chile,2001,15198.00
Chile,2002,15341.40
Chile,2003,15761.13
Chile,2004,16520.18
Chile,2005,17239.86
Chile,2006,17796.77
Chile,2007,18507.22
Chile,2008,18906.13
Chile,2009,18505.60
Chile,2010,19357.47
Chile,2011,20266.04
Chile,2012,21141.98
Chile,2013,21748.33
Chile,2014,21923.39
Chile,2015,22197.04
United Kingdom,1,977.58
United Kingdom,1000,1233.38
United Kingdom,1280,1103.04
United Kingdom,1300,1208.95
United Kingdom,1348,1280.63
United Kingdom,1400,1790.61
United Kingdom,1450,1753.13
United Kingdom,1500,1769.43
United Kingdom,1550,1723.81
United Kingdom,1570,1810.16
United Kingdom,1600,1762.91
United Kingdom,1650,1507.16
United Kingdom,1700,2465.14
United Kingdom,1720,2774.71
United Kingdom,1750,2761.67
United Kingdom,1775,2958.82
United Kingdom,1800,3416.53
United Kingdom,1801,3424.04
United Kingdom,1802,3434.66
United Kingdom,1803,3323.70
United Kingdom,1804,3274.89
United Kingdom,1805,3422.35
United Kingdom,1806,3359.91
United Kingdom,1807,3530.48
United Kingdom,1808,3321.96
United Kingdom,1809,3381.84
United Kingdom,1810,3554.71
United Kingdom,1811,3471.90
United Kingdom,1812,3278.44
United Kingdom,1813,3402.34
United Kingdom,1814,3275.21
United Kingdom,1815,3566.27
United Kingdom,1816,3322.96
United Kingdom,1817,3325.88
United Kingdom,1818,3272.16
United Kingdom,1819,3172.22
United Kingdom,1820,3378.93
United Kingdom,1821,3380.75
United Kingdom,1822,3389.26
United Kingdom,1823,3433.76
United Kingdom,1824,3569.37
United Kingdom,1825,3599.84
United Kingdom,1826,3362.74
United Kingdom,1827,3575.82
United Kingdom,1828,3536.63
United Kingdom,1829,3518.54
United Kingdom,1830,3628.97
United Kingdom,1831,3623.85
United Kingdom,1832,3692.54
United Kingdom,1833,3679.16
United Kingdom,1834,3720.18
United Kingdom,1835,3946.42
United Kingdom,1836,4024.67
United Kingdom,1837,3942.45
United Kingdom,1838,4049.77
United Kingdom,1839,3967.56
United Kingdom,1840,4107.51
United Kingdom,1841,3980.57
United Kingdom,1842,3893.00
United Kingdom,1843,4037.10
United Kingdom,1844,4339.42
United Kingdom,1845,4484.06
United Kingdom,1846,4430.65
United Kingdom,1847,4328.15
United Kingdom,1848,4457.33
United Kingdom,1849,4520.02
United Kingdom,1850,3796.28
United Kingdom,1851,3993.12
United Kingdom,1852,4041.37
United Kingdom,1853,4163.62
United Kingdom,1854,4240.26
United Kingdom,1855,4188.59
United Kingdom,1856,4447.43
United Kingdom,1857,4492.47
United Kingdom,1858,4468.07
United Kingdom,1859,4545.91
United Kingdom,1860,4611.33
United Kingdom,1861,4699.02
United Kingdom,1862,4692.69
United Kingdom,1863,4693.48
United Kingdom,1864,4782.76
United Kingdom,1865,4889.49
United Kingdom,1866,4925.49
United Kingdom,1867,4836.17
United Kingdom,1868,4947.61
United Kingdom,1869,4938.06
United Kingdom,1870,5198.19
United Kingdom,1871,5428.64
United Kingdom,1872,5407.94
United Kingdom,1873,5482.12
United Kingdom,1874,5517.55
United Kingdom,1875,5594.50
United Kingdom,1876,5588.78
United Kingdom,1877,5580.70
United Kingdom,1878,5543.72
United Kingdom,1879,5462.26
United Kingdom,1880,5665.62
United Kingdom,1881,5814.06
United Kingdom,1882,5935.63
United Kingdom,1883,5936.07
United Kingdom,1884,5900.78
United Kingdom,1885,5822.62
United Kingdom,1886,5865.54
United Kingdom,1887,6049.86
United Kingdom,1888,6271.36
United Kingdom,1889,6555.95
United Kingdom,1890,6531.54
United Kingdom,1891,6476.77
United Kingdom,1892,6266.83
United Kingdom,1893,6208.87
United Kingdom,1894,6564.30
United Kingdom,1895,6709.00
United Kingdom,1896,6922.21
United Kingdom,1897,6946.57
United Kingdom,1898,7214.12
United Kingdom,1899,7440.96
United Kingdom,1900,7318.54
United Kingdom,1901,7251.06
United Kingdom,1902,7373.07
United Kingdom,1903,7233.49
United Kingdom,1904,7214.48
United Kingdom,1905,7365.24
United Kingdom,1906,7545.46
United Kingdom,1907,7622.84
United Kingdom,1908,7249.10
United Kingdom,1909,7349.02
United Kingdom,1910,7512.37
United Kingdom,1911,7672.24
United Kingdom,1912,7758.34
United Kingdom,1913,8017.08
United Kingdom,1914,8026.91
United Kingdom,1915,8616.20
United Kingdom,1916,8772.80
United Kingdom,1917,8832.50
United Kingdom,1918,8894.90
United Kingdom,1919,7935.39
United Kingdom,1920,7409.94
United Kingdom,1921,7232.74
United Kingdom,1922,7554.99
United Kingdom,1923,7755.02
United Kingdom,1924,8017.72
United Kingdom,1925,8381.96
United Kingdom,1926,8042.44
United Kingdom,1927,8659.66
United Kingdom,1928,8728.14
United Kingdom,1929,8966.59
United Kingdom,1930,8864.83
United Kingdom,1931,8372.05
United Kingdom,1932,8388.08
United Kingdom,1933,8598.60
United Kingdom,1934,9136.35
United Kingdom,1935,9448.36
United Kingdom,1936,9833.14
United Kingdom,1937,10130.40
United Kingdom,1938,10209.97
United Kingdom,1939,10203.37
United Kingdom,1940,11170.53
United Kingdom,1941,12189.94
United Kingdom,1942,12446.06
United Kingdom,1943,12616.86
United Kingdom,1944,12065.65
United Kingdom,1945,11496.60
