Entity,Year,Labour cost ratio (45-54 year-old population) 2009
Belgium,2009,1.630617128
Australia,2009,1.643135916
Austria,2009,2.223160883
Canada,2009,1.82928185
Denmark,2009,1.437133799
Czech Republic,2009,3.466004723
France,2009,2.019812289
Finland,2009,1.414304208
Estonia,2009,1.52039507
Germany,2009,1.763824864
Hungary,2009,2.993639723
Greece,2009,1.814335839
Ireland,2009,2.091461575
Israel,2009,2.086975425
Iceland,2009,1.779163202
Netherlands,2009,1.922679229
Italy,2009,2.403320855
Luxembourg,2009,2.556748583
Poland,2009,3.223617145
Norway,2009,1.525148564
New Zealand,2009,1.454937512
Slovenia,2009,3.007899407
Slovakia,2009,2.62080125
Portugal,2009,3.689678336
Spain,2009,1.856519788
Sweden,2009,1.59389378
South Korea,2009,2.618799146
United Kingdom,2009,2.215318119
United States,2009,2.77125173
