Entity,Year,Meat consumption per capita per year
Afghanistan,1961,14.46
Afghanistan,1962,14.47
Afghanistan,1963,14.88
Afghanistan,1964,15.06
Afghanistan,1965,15.39
Afghanistan,1966,17.54
Afghanistan,1967,18.02
Afghanistan,1968,19.26
Afghanistan,1969,18.85
Afghanistan,1970,17.17
Afghanistan,1971,16.9
Afghanistan,1972,14.68
Afghanistan,1973,15.47
Afghanistan,1974,15.58
Afghanistan,1975,15.77
Afghanistan,1976,17.36
Afghanistan,1977,17.57
Afghanistan,1978,17.77
Afghanistan,1979,17.71
Afghanistan,1980,18.11
Afghanistan,1981,19.01
Afghanistan,1982,19.69
Afghanistan,1983,19.42
Afghanistan,1984,19.16
Afghanistan,1985,18.21
Afghanistan,1986,17.51
Afghanistan,1987,18.73
Afghanistan,1988,19.47
Afghanistan,1989,19.86
Afghanistan,1990,20.91
Afghanistan,1991,19.64
Afghanistan,1992,17.81
Afghanistan,1993,16.84
Afghanistan,1994,16.56
Afghanistan,1995,16.43
Afghanistan,1996,16.84
Afghanistan,1997,17.85
Afghanistan,1998,18.99
Afghanistan,1999,18.28
Afghanistan,2000,15.5
Afghanistan,2001,12.99
Afghanistan,2002,13.71
Afghanistan,2003,12.89
Afghanistan,2004,13.69
Afghanistan,2005,14
Afghanistan,2006,11.22
Afghanistan,2007,10.71
Afghanistan,2008,12.14
Afghanistan,2009,11.86
Afghanistan,2010,13
Afghanistan,2011,13.37
Afghanistan,2012,12.29
Afghanistan,2013,12.34
Albania,1961,15.22
Albania,1962,14.96
Albania,1963,14.12
Albania,1964,13.01
Albania,1965,13.45
Albania,1966,13.97
Albania,1967,16.45
Albania,1968,14.88
Albania,1969,14.63
Albania,1970,14.58
Albania,1971,14.87
Albania,1972,14.31
Albania,1973,13.91
Albania,1974,14.13
Albania,1975,13.68
Albania,1976,14.75
Albania,1977,13.99
Albania,1978,15.15
Albania,1979,15.35
Albania,1980,15.29
Albania,1981,15.77
Albania,1982,15.36
Albania,1983,15.16
Albania,1984,14.53
Albania,1985,15.2
Albania,1986,13.77
Albania,1987,13.75
Albania,1988,15.63
Albania,1989,16.07
Albania,1990,17.01
Albania,1991,20.61
Albania,1992,20.07
Albania,1993,22.12
Albania,1994,24.94
Albania,1995,25.87
Albania,1996,27.08
Albania,1997,21.83
Albania,1998,23.58
Albania,1999,31.58
Albania,2000,26.92
Albania,2001,31.47
Albania,2002,37.79
Albania,2003,37.89
Albania,2004,39.64
Albania,2005,40.56
Albania,2006,44.5
Albania,2007,48.79
Albania,2008,53.52
Albania,2009,55.73
Albania,2010,59
Albania,2011,58.62
Albania,2012,61.49
Albania,2013,61.97
Algeria,1961,11.4
Algeria,1962,9.27
Algeria,1963,7.33
Algeria,1964,7.33
Algeria,1965,7.72
Algeria,1966,7.54
Algeria,1967,7.21
Algeria,1968,7.91
Algeria,1969,7.95
Algeria,1970,7.75
Algeria,1971,8.27
Algeria,1972,8.51
Algeria,1973,8.72
Algeria,1974,8.75
Algeria,1975,8.71
Algeria,1976,9.09
Algeria,1977,10.01
Algeria,1978,9.46
Algeria,1979,9.69
Algeria,1980,10.66
Algeria,1981,11.3
Algeria,1982,12.69
Algeria,1983,13.79
Algeria,1984,14.92
Algeria,1985,15.6
Algeria,1986,16.03
Algeria,1987,16.01
Algeria,1988,16.28
Algeria,1989,16.46
Algeria,1990,17.24
Algeria,1991,17.57
Algeria,1992,17.81
Algeria,1993,18.3
Algeria,1994,18.2
Algeria,1995,18.17
Algeria,1996,18.22
Algeria,1997,17.21
Algeria,1998,18.34
Algeria,1999,18.03
Algeria,2000,18.37
Algeria,2001,16.83
Algeria,2002,17.58
Algeria,2003,18.77
Algeria,2004,20.74
Algeria,2005,20.91
Algeria,2006,19.6
Algeria,2007,19.44
Algeria,2008,18.71
Algeria,2009,19.35
Algeria,2010,18.35
Algeria,2011,19.85
Algeria,2012,21.01
Algeria,2013,21.07
Angola,1961,6.62
Angola,1962,6.86
Angola,1963,6.94
Angola,1964,7.54
Angola,1965,8.08
Angola,1966,8.19
Angola,1967,8.89
Angola,1968,9.04
Angola,1969,9.74
Angola,1970,10.57
Angola,1971,10.83
Angola,1972,10.56
Angola,1973,10.79
Angola,1974,10.87
Angola,1975,12.05
Angola,1976,11.21
Angola,1977,13.76
Angola,1978,13.38
Angola,1979,13.13
