Entity,Year,Prevalence of vitamin-A deficiency,Prevalence of night blindness
Afghanistan,2005,16,12.5
Albania,2005,1.4,3.2
Africa,2005,14.3,9.4
Algeria,2005,21.2,5.3
Angola,2005,15,10.9
Antigua and Barbuda,2005,2.3,3.9
Argentina,2005,2,3.2
Armenia,2005,23.3,3.2
Asia,2005,18.4,7.8
Azerbaijan,2005,23.2,3.3
Bangladesh,2005,23.7,6.5
Barbados,2005,2.3,3.2
Belarus,2005,2.2,2.6
Belize,2005,1.8,4.6
Benin,2005,18,9.9
Bhutan,2005,17,6.8
Bolivia,2005,1.7,14.1
Bosnia and Herzegovina,2005,2.1,4.5
Botswana,2005,19.3,4.3
Brazil,2005,2.1,3.5
Bulgaria,2005,2.2,2.8
Burkina Faso,2005,16.7,13
Burundi,2005,2.2,8
Cambodia,2005,16.5,8
Cameroon,2005,17.9,6
Cape Verde,2005,21.2,6.7
Central African Republic,2005,16.8,13.3
China,2005,22.8,4.2
Chile,2005,2.4,3.4
Chad,2005,17.1,2.7
Congo,2005,18.2,8
Comoros,2005,15.1,9.4
Colombia,2005,2,4.1
Cote d'Ivoire,2005,19,10.3
Costa Rica,2005,2.2,4.4
Cook Islands,2005,2.2,2.8
Czech Republic,2005,2.3,2.9
Cuba,2005,2.3,3
Croatia,2005,2.4,3
Djibouti,2005,18.2,9.1
Democratic Republic of Congo,2005,,10.4
Dominica,2005,1.8,3.6
Egypt,2005,21.5,5
Dominican Republic,2005,2.2,4.5
Ecuador,2005,1.7,3.7
Eritrea,2005,15.7,11.6
Equatorial Guinea,2005,16.5,8.3
El Salvador,2005,1.7,4.3
Estonia,2005,2.4,2.6
Ethiopia,2005,13.2,22.1
Europe,2005,2.2,2.9
Gambia,2005,34,7.9
Gabon,2005,20,10.5
Fiji,2005,2.3,3.8
Ghana,2005,18.1,7.7
Georgia,2005,23.6,3.7
Grenada,2005,2.3,3.2
Guinea-Bissau,2005,18,11.3
Guinea,2005,18.8,17.8
Guatemala,2005,1.1,6.8
Honduras,2005,1.5,4.8
Haiti,2005,2,9.4
Guyana,2005,1,3.5
Indonesia,2005,17.1,1.7
India,2005,16.4,12.1
Hungary,2005,2.2,2.7
Jamaica,2005,14.4,4.5
Iraq,2005,21,7
Iran,2005,15.2,4
Kenya,2005,17.3,6.4
Jordan,2005,24.2,4.4
Kazakhstan,2005,23.6,2.6
Laos,2005,16.6,11.9
Kyrgyzstan,2005,20.1,3.3
Kiribati,2005,1.5,4.6
Latvia,2005,2.4,2.6
Lebanon,2005,23.5,3.7
Latin America and the Caribbean,2005,2,4.4
Libya,2005,21.7,4.2
Liberia,2005,12,13.3
Lesotho,2005,14.7,4.4
Macedonia,2005,2.1,3.3
Madagascar,2005,13.8,7.5
Lithuania,2005,2.4,2.6
Malaysia,2005,22.2,4.4
Malawi,2005,13.7,5.8
Maldives,2005,19.9,4.6
Mali,2005,16.7,19.1
Malta,2005,2.4,3.7
Marshall Islands,2005,2.2,4.3
Mexico,2005,1.9,3.8
Mauritania,2005,17.1,9.7
Mauritius,2005,22.5,4
Moldova,2005,2.2,5.1
Mongolia,2005,19.3,3.4
Micronesia,2005,2.2,3.6
Mozambique,2005,14.3,5.3
Morocco,2005,20.9,2.2
Montenegro,2005,2.2,3.3
Namibia,2005,19.2,6.2
Myanmar,2005,18,1.1
Nauru,2005,2.2,8.9
Niger,2005,14.7,17.1
Nicaragua,2005,1.7,5.1
Nepal,2005,31.5,19.6
Nigeria,2005,1.7,7.7
Niue,2005,2.2,3
North America,2005,0,0
North Korea,2005,17.8,5.3
Oman,2005,23.5,4.4
Oceania,2005,1.4,9.2
Panama,2005,1.8,4.7
Pakistan,2005,10,7.8
Palau,2005,2.3,3.7
Peru,2005,1.7,6.5
Paraguay,2005,2,4.5
Papua New Guinea,2005,1.2,10.3
Poland,2005,2.2,2.8
Romania,2005,2,3
Philippines,2005,17.5,7.9
Russia,2005,2.2,2.8
Rwanda,2005,6.2,7.9
Saint Kitts and Nevis,2005,2.3,2.9
Saint Lucia,2005,2.2,3.7
Saint Vincent and the Grenadines,2005,0.7,3.8
Samoa,2005,2.2,3.3
Senegal,2005,19.4,12.7
Saudi Arabia,2005,22.5,5.1
Sao Tome and Principe,2005,17.9,5
Sierra Leone,2005,17.6,9.7
Serbia,2005,2.2,3.3
Seychelles,2005,24.2,3.2
Somalia,2005,18.8,12.8
Slovakia,2005,2.2,2.9
Solomon Islands,2005,1.5,6.6
Sudan,2005,16.1,9.6
South Africa,2005,18.9,4.5
Sri Lanka,2005,22.7,3.5
Syria,2005,21.8,4.6
Swaziland,2005,17.7,4.1
Suriname,2005,2.1,4.8
Tanzania,2005,14.8,2.7
Thailand,2005,1.7,3.7
Tajikistan,2005,18,3.8
Togo,2005,19.9,9.5
Timor,2005,15.4,13.4
Tonga,2005,2.3,3
Turkey,2005,22.8,5.4
Tunisia,2005,22.5,4.5
Trinidad and Tobago,2005,2.3,3.7
Uganda,2005,23.3,8.3
Turkmenistan,2005,20.7,3.4
Tuvalu,2005,2.2,3.6
Uzbekistan,2005,21,3.4
Uruguay,2005,2.1,3.2
Ukraine,2005,2.3,2.5
Vietnam,2005,17.7,4.1
Vanuatu,2005,1.7,11.8
Venezuela,2005,2,4.7
Zambia,2005,14,5.7
Yemen,2005,15.8,9.8
World,2005,15.3,7.8
Zimbabwe,2005,20,4.6
