Entity,Year,Solar PV prices through time- ITRPV
World,1976,100
World,1977,76
World,1978,53
World,1979,45
World,1980,33
World,1981,25
World,1982,21
World,1983,18
World,1984,16
World,1985,14
World,1986,10.5
World,1987,8
World,1988,7.1
World,1989,7.7
World,1990,8.3
World,1991,7.5
World,1992,6.8
World,1993,6.7
World,1994,6
World,1995,5.5
World,1996,5.7
World,1997,6
World,1998,5.4
World,1999,4.8
World,2000,4.6
World,2001,4.5
World,2002,3.8
World,2003,3.75
World,2004,3.9
World,2005,4
World,2006,4.2
World,2007,3.9
World,2008,3.25
World,2009,2.25
World,2010,1.6
World,2011,0.95
World,2012,0.5
World,2013,0.72
World,2014,0.62
World,2015,0.55
World,2016,0.38
