Entity,Year,Total Taxes,Taxes  goods and services,Taxes Income
Afghanistan,2003,2.512628799,0.128351507,0.16595383
Afghanistan,2004,4.076170749,0.481203038,0.411648593
Afghanistan,2005,4.668273614,0.530535277,0.320864734
Afghanistan,2006,7.115890775,1.701894355,1.261181492
Afghanistan,2007,6.061553936,1.514155721,1.323461093
Afghanistan,2008,6.174381508,1.529602384,1.664718874
Afghanistan,2009,8.673145298,2.191285933,2.60863071
Afghanistan,2010,9.559737214,2.528897581,2.563412616
Afghanistan,2011,9.359386622,2.460372381,2.573097814
Afghanistan,2012,7.950492942,2.054117113,2.47780261
Afghanistan,2013,,1.552056699,2.458170726
Albania,1992,13.32632349,5.530157569,2.41687239
Albania,1993,14.71452425,6.044112508,2.965427081
Albania,1994,15.5272531,6.240259039,
Albania,1995,14.32160169,5.771736502,
Albania,1996,12.37980041,4.048175102,
Albania,1997,13.19187286,5.148209984,1.037556543
Albania,1998,17.63402076,8.230757388,1.563992972
Albania,1999,17.71287041,7.794044676,2.190729847
Albania,2000,19.90237896,9.035585984,2.742795525
Albania,2001,19.91381098,8.68952584,3.175005871
Albania,2002,20.70751922,8.902524606,3.355328555
Albania,2003,20.93566038,9.059671689,3.242337537
Albania,2004,22.10321402,9.853239985,
Albania,2005,22.36139799,10.01476441,
Albania,2006,23.2938,11.02913255,
Albania,2007,23.58241963,12.03922825,
Albania,2008,24.43831662,12.9177925,
Albania,2009,23.67257024,12.55310593,
Albania,2010,23.29689832,12.32605977,3.791392732
Albania,2011,23.08898833,12.27107072,3.582906614
Albania,2012,22.53105602,11.44898127,3.51930752
Albania,2013,21.71778602,10.74898518,3.275253154
Algeria,1985,16.97530864,,
Algeria,1986,18.37491571,,
Algeria,1987,18.5481292,9.210105532,6.331947554
Algeria,1988,16.70980731,8.110440035,6.010928962
Algeria,1989,16.349045,8.31668811,5.189044718
Algeria,1990,14.21356421,7.647907648,3.896103896
Algeria,1991,12.31829929,7.156676704,2.609809171
Algeria,1992,10.76579511,5.117707267,2.614683167
Algeria,1993,10.59913257,4.555693777,2.941868675
Algeria,1994,10.9721662,4.430549953,2.87750437
Algeria,1995,11.6309807,4.982568492,2.673330042
Algeria,1996,11.30350195,5.038910506,2.626459144
Algeria,1997,11.29055464,5.326954895,2.942234372
Algeria,1998,11.65169282,5.472550689,3.112535285
Algeria,1999,9.691521458,4.60870636,2.222769534
Algeria,2000,8.475809385,4.001455075,1.988601916
Algeria,2001,9.420169856,4.239313004,2.330202739
Algeria,2002,10.67701424,4.93941806,2.480764128
Algeria,2003,9.993717038,4.453287131,2.43512366
Algeria,2004,9.438779659,4.455936641,2.406856288
Algeria,2005,8.469981486,4.083575774,2.22295689
Algeria,2006,8.479540418,4.014519552,2.837099665
Algeria,2007,8.198535426,3.714359946,2.759574848
Algeria,2008,8.738013528,3.93889729,3.006238851
Algeria,2009,11.5067872,4.795330672,4.634817512
Algeria,2010,10.82427974,4.294687263,4.686629596
Algeria,2011,10.51174362,3.944485327,4.715484205
Algeria,2012,12.19328308,4.250584688,5.497836545
Angola,1985,27.70355234,,
Angola,1986,18.66780251,,
Angola,1987,20.86888815,,
Angola,1988,18.98423847,,
Angola,1989,20.7741522,,
Angola,1990,22.44409336,,
Angola,1991,14.75849732,,
Angola,1992,34.95365992,6.544354076,
Angola,1993,38.23623196,1.484902212,0
Angola,1994,25.7,0.5,0.5
Angola,1995,27.16,0.533333333,0.666666667
Angola,1996,41.00810515,0.770208105,0.772179628
Angola,1997,25.92835509,1.421096606,1.284699739
Angola,1998,32.21188261,3.579098067,3.579098067
Angola,1999,42.61666959,1.598124867,1.598124867
Angola,2000,45.90314527,1.596631108,1.39705222
Angola,2001,41.25596554,2.691615155,2.459579366
Angola,2002,34.73210342,2.683764329,2.297743432
Angola,2003,36.090097,2.843404907,2.616688236
Angola,2004,36.35986885,2.224497507,2.584073817
