Entity,Year,Food exports (% of merchandise exports),Manufactures exports (% of merchandise exports),Sea freight cost (relative to 1930),Passenger air transport cost (relative to 1930),International calling costs (relative to 1930)
Afghanistan,1962,31.94702634,13.83135651,,,
Afghanistan,1963,26.51911952,9.467291732,,,
Afghanistan,1964,32.60326449,12.87941589,,,
Afghanistan,1965,41.06746127,13.07219252,,,
Afghanistan,1966,35.64949323,12.45691007,,,
Afghanistan,1967,40.87586694,8.025516605,,,
Afghanistan,1968,41.82833069,7.243943214,,,
Afghanistan,1969,38.14843102,8.721606237,,,
Afghanistan,1970,36.06464886,10.91412752,,,
Afghanistan,1971,27.02127781,12.74772024,,,
Afghanistan,1972,37.23807016,14.89093009,,,
Afghanistan,1973,48.62098697,12.302644,,,
Afghanistan,1974,43.91323905,10.57057627,,,
Afghanistan,1975,36.428579,9.587881643,,,
Afghanistan,1976,35.86717967,11.51367228,,,
Afghanistan,1977,36.06561131,14.57606938,,,
Afghanistan,2008,52.52408118,34.61741964,,,
Afghanistan,2009,54.67931958,18.04329652,,,
Afghanistan,2010,40.04707097,19.62655879,,,
Afghanistan,2011,39.1451752,14.1181152,,,
Afghanistan,2012,17.43722277,16.96401615,,,
Afghanistan,2013,13.6385048,14.21933585,,,
Afghanistan,2014,14.49562375,14.72193646,,,
Albania,1996,11.07672667,65.36820428,,,
Albania,1997,11.08539894,64.68899908,,,
Albania,1998,9.820444318,67.6566418,,,
Albania,1999,5.532591892,84.09369743,,,
Albania,2000,6.616207793,81.65935988,,,
Albania,2001,5.750397884,84.17980374,,,
Albania,2002,3.463285233,84.42528953,,,
Albania,2003,5.621865369,84.19131978,,,
Albania,2004,5.669594911,81.51488698,,,
Albania,2005,9.338585434,43.47081566,,,
Albania,2006,7.698351573,27.00154978,,,
Albania,2007,5.229415559,70.23263079,,,
Albania,2008,4.31107302,33.41271863,,,
Albania,2009,5.624207625,70.14539529,,,
Albania,2010,4.471958018,62.05138578,,,
Albania,2011,4.109861138,60.07611098,,,
Albania,2012,4.577602012,55.24909662,,,
Albania,2013,4.513193323,52.29376077,,,
Albania,2014,3.002909203,31.36353809,,,
Albania,2015,5.610236234,52.6944271,,,
Algeria,1966,30.96960498,5.603517884,,,
Algeria,1968,16.09081253,7.58600935,,,
Algeria,1969,20.54700706,7.64414706,,,
Algeria,1970,19.98327498,6.741344431,,,
Algeria,1971,12.35276361,8.56580537,,,
Algeria,1973,12.29658517,3.255305701,,,
Algeria,1974,3.882369284,2.006315856,,,
Algeria,1975,4.070764137,2.18087814,,,
Algeria,1976,3.053120327,0.876876967,,,
Algeria,1977,2.289471632,0.656684709,,,
Algeria,1978,2.409578027,0.566419766,,,
Algeria,1979,1.136448246,0.400369074,,,
Algeria,1980,0.770226833,0.315613851,,,
Algeria,1981,0.931555184,0.50527334,,,
Algeria,1982,0.623873045,0.7741048,,,
Algeria,1983,0.33879592,0.733532159,,,
Algeria,1984,0.405205815,1.546696865,,,
