Entity,Year,"Expenditure per student as % of GDP (primary), 1974-2014 - World Bank","Teacher-pupil ratio (primary), 1970-2014 - World Bank","Pri - Government expenditure per student, primary (% of GDP per capita)","Sec - Government expenditure per student, secondary (% of GDP per capita)","Tert - Government expenditure per student, tertiary (% of GDP per capita)",Total Government Expenditure on Education,Share of Education in Government Expenditure,Expenditure on primary as % of government expenditure on education
Afghanistan,1970,,41.22332,,,,,,
Afghanistan,1971,,39.10539,,,,,,
Afghanistan,1972,,40.38314,,,,,,
Afghanistan,1973,,38.32161,,,,,,
Afghanistan,1974,,37.21537,,,,,,
Afghanistan,1975,,37.30693,,,,,,
Afghanistan,1976,,35.75747,,,,,,
Afghanistan,1989,,36.40558,,,,,,
Afghanistan,1990,,41.20965,,,,,,
Afghanistan,1993,,48.67153,,,,,,
Afghanistan,1994,,57.91294,,,,,,
Afghanistan,1998,,32.10315,,,,,,
Afghanistan,1999,,33.18571,,,,,,
Afghanistan,2006,,42.32602,,,,,,
Afghanistan,2007,,42.7703,,,,,,
Afghanistan,2008,,43.72982,,,,,,
Afghanistan,2009,,42.83639,,,,,,
Afghanistan,2010,,44.41709,,,,4.51116,22.24014,
Afghanistan,2011,,43.51915,,,,4.08791,19.10585,
Afghanistan,2012,,44.67743,,,,3.12561,12.82317,
Afghanistan,2013,,,,,,4.57747,18.4612,
Afghanistan,2014,,,,,,4.6191,18.39787,
Albania,1996,,,,,,3.27428,,
Albania,1997,,22.75761,,,,3.47532,11.15339,
Albania,1998,,,,,,3.30127,9.62407,
Albania,1999,,,,,,3.36038,9.68246,
Albania,2000,,22.56784,,,,3.23823,10.13703,
Albania,2001,,21.75244,,,,3.31589,10.58193,
Albania,2002,,,,,,3.04681,9.88692,
Albania,2003,,21.49541,,,,3.11557,10.5736,
Albania,2004,,,,,,3.10656,10.70316,
Albania,2005,,,,,,3.15439,11.35797,
Albania,2006,,,,,,3.10882,10.93295,
Albania,2007,,,,,,3.26868,11.17719,
Albania,2008,,19.4078,,,,,,
Albania,2009,,20.17793,,,,,,
Albania,2010,,19.70208,,,,,,
Albania,2011,,19.86917,,,,,,
Albania,2012,,19.48298,,,,,,
Albania,2013,,19.12103,,,,3.50083,12.12391,56.93594
Algeria,1971,,40.00059,,,,,,
Algeria,1975,,41.96422,,,,,,
Algeria,1976,,40.94596,,,,,,
Algeria,1977,,39.50841,,,,,,
Algeria,1978,,37.58111,,,,,,
Algeria,1979,,36.76106,,,,,,
Algeria,1980,,35.80454,,,,,,
Algeria,1981,,35.24855,,,,,,
Algeria,1982,,33.74068,,,,,,
Algeria,1983,,32.32614,,,,,,
Algeria,1984,,30.56192,,,,,,
Algeria,1985,,29.63073,,,,,,
Algeria,1986,,27.84273,,,,,,
Algeria,1987,,27.28204,,,,,,
Algeria,1988,,27.17892,,,,,,
Algeria,1989,,27.95506,,,,,,
Algeria,1990,,27.78717,,,,,,
Algeria,1991,,27.69468,,,,,,
Algeria,1992,,28.1692,,,,,,
Algeria,1993,,27.41847,,,,,,
Algeria,1994,,27.36828,,,,,,
Algeria,1995,,27.27589,,,,,,
Algeria,1996,,27.32222,,,,,,
Algeria,1997,,27.34591,,,,,,
Algeria,1999,12.44347,28.19076,12.44347,21.51123,,,,
Algeria,2000,10.11494,28.3962,10.11494,17.74353,,,,
Algeria,2001,,27.84252,,,,,,
Algeria,2002,11.23548,27.59291,11.23548,18.22803,,,,
Algeria,2003,11.73824,27.53299,11.73824,18.26467,,,,
Algeria,2004,,26.51107,,,,,,
Algeria,2005,,25.43721,,,,,,
Algeria,2006,,24.48384,,,,,,
Algeria,2007,,23.93164,,,,,,
Algeria,2008,,23.23052,,,,4.33702,11.42941,
Algeria,2009,,22.99987,,,,,,
Algeria,2010,,23.32803,,,,,,
Algeria,2011,,23.26903,,,,,,
Algeria,2012,,23.15942,,,,,,
Algeria,2013,,23.26105,,,,,,
Andorra,1975,,15.38732,,,,,,
Andorra,1983,,9.72676,,,,,,
Andorra,1997,,,,,,3.71328,,
Andorra,2002,9.47203,12.67901,9.47203,7.39715,36.95785,1.69684,,27.13887
Andorra,2003,,12.0758,,,,,,
Andorra,2004,10.44922,12.65282,10.44922,8.78606,22.82607,1.53254,,29.27523
Andorra,2005,9.82154,11.47472,9.82154,9.17158,18.87113,1.60025,,24.13593
Andorra,2006,12.34146,10.4891,12.34146,12.58358,37.18791,2.19399,,23.76173
Andorra,2007,12.06832,10.24769,12.06832,13.44735,,2.07405,,25.64062
Andorra,2008,,10.02679,,,,2.93457,,
Andorra,2009,14.66964,10.33256,14.66964,16.61308,,3.16387,,26.37233
Andorra,2010,15.80389,9.64018,15.80389,12.31875,,3.0658,,28.89524
Andorra,2011,16.62208,9.84527,16.62208,12.63239,,3.15889,,28.80875
Andorra,2012,,9.58237,,,,,,
Andorra,2013,15.41457,9.33028,15.41457,16.221,16.63944,2.46258,,32.14382
Andorra,2014,,,,,,,,22.28986
Angola,1971,,44.38688,,,,,,
Angola,1972,,42.84184,,,,,,
Angola,1973,,40.89138,,,,,,
Angola,1974,,32.32685,,,,,,
Angola,1982,,31.45022,,,,,,
Angola,1983,,36.82133,,,,,,
Angola,1984,,31.77187,,,,,,
Angola,1985,,29.81775,,,,,,
Angola,1986,,31.273,,,,,,
Angola,1987,,33.39832,,,,,,
Angola,1988,,32.57673,,,,,,
Angola,1989,,33.42115,,,,,,
Angola,1991,,31.87673,,,,,,
Angola,1992,,27.18103,,,,,,
Angola,1998,,41.75324,,,,2.59149,6.11468,
Angola,2000,,,,,,2.60753,5.25508,
Angola,2005,,,,,78.96182,2.7762,7.99235,36.49876
Angola,2006,,,,,87.49619,2.85969,7.45481,31.43351
Angola,2007,,41.0124,,,,,,
Angola,2010,,45.58651,,,,3.47644,8.68476,
Angola,2011,,42.54306,,,,,,
American Samoa,1971,,23.14286,,,,,,
American Samoa,1972,,21.55455,,,,,,
American Samoa,1973,,21.58841,,,,,,
American Samoa,1974,,,,0,,,,
American Samoa,1975,,,,0,,,,
American Samoa,1976,,23.25166,,0,,,,
American Samoa,1977,,21.86452,,,,,,
American Samoa,1982,,17.07342,,,,,,
American Samoa,1984,,20.88728,,,,,,
American Samoa,1985,,21.30919,,,,,,
American Samoa,1986,,16.96916,,,,,,
American Samoa,1987,,16.87257,,,,,,
American Samoa,1988,,15.98807,,,,,,
American Samoa,1989,,17.71429,,,,,,
American Samoa,1990,,18.5987,,,,,,
American Samoa,1991,,17.26316,,,,,,
American Samoa,1992,,15.0458,,,,,,
Antigua and Barbuda,1972,,25.11017,,,,,,
Antigua and Barbuda,1974,,25.49091,,,,,,
Antigua and Barbuda,1975,,23.78043,,,,,,
Antigua and Barbuda,1976,,21.64122,,,,,,
Antigua and Barbuda,1977,,26.04296,,,,,,
Antigua and Barbuda,1978,,24.53865,,,,,,
